Latitude,Longitude
"61o 29' 28,4847''","23o 45' 29,6385''"
"61o 29' 15,3604''","23o 43' 28,1178''"
"61o 29' 15,3604''","23o 43' 28,1178''"
"61o 29' 15,3604''","23o 43' 28,1178''"
"61o 28' 25,1146''","23o 35' 49,2965''"
"61o 26' 32,5987''","23o 29' 07,8846''"
"61o 28' 12,9561''","23 o31' 29,4147''"
"61o 27' 47,7995''","23o 26' 15,4991''"
"61o 28' 35,9033''","23o 19' 56,0489''"
"61o 24' 10,7528''","23o 04' 23,5967''"
"61o 20' 58,9319''","22o 58' 01,7446''"
"61o 19' 43,7466''","22o 50' 50,5300''"
"61o 15' 59,1286''","22o 41' 48,4816''"
"61o 12' 47,5060''","22o 40' 40,0362''"
"61o 11' 51,8965''","22o 38 '54,4169''"
"61o 16' 24,8017''","22o 21' 19,4981''"
