,RAND_s_key,RAND_s_num,RAND_poll_count,RAND_detected_polls
0,m1,1,19,"1,2,3-Benzotriazole, Aclonifen, Azithromycin, Benzylamine, Benzyldimethyldodecylammonium, Benzyldimethyltetradecylammonium, Benzyltrimethylammonium, Ciprofloxacin, Clarithromycin, Dicyclohexylamine, g-Methylionone, Homosalate, N,N-Diethyl-m-toluamide, Norfloxacin, Ofloxacin, Piperonylbutoxide, Polychlorinated biphenyls, Pyriproxyfen, Tris(2-butoxyethyl) phosphate"
1,t1-2,5,33,"1,2,3-Benzotriazole, 2-(2-Naphthalenyl)benzothiophene, 3-Chloroaniline, 4-tert-Octylphenol diethoxylate, 5-Methyl-1H-benzotriazole (5-Tolytriazole), 5,6-Dimethyl-1H-benzotriazole, 7H-Benzo(de)anthracen-7-one (Benzanthrone), Acetamiprid, Aclonifen, AHDI (Phantolide), Atrazine-desethyl, Azithromycin, Benzo[a]pyrene, Benzo[k]fluoranthene, Benzyldimethyldodecylammonium, Benzyldimethyltetradecylammonium, Ciprofloxacin, Clarithromycin, Diuron, g-Methylionone, Hexa(methoxymethyl)melamine, Mepiquat chloride, Methyl paraben, Methylsalicylate, N,N-Diethyl-m-toluamide, Nonylphenol diethoxylate, Norfloxacin, Ofloxacin, Pendimethalin, Piperonylbutoxide, Polychlorinated biphenyls, Pyriproxyfen, Tris(2-butoxyethyl) phosphate"
2,t3-1,7,55,"1-Hydroxyibuprofen, 1,2,3-Benzotriazole, 4-Aminomethyl-benzenesulfonamide, 4-Methyl-1H-benzotriazole, 5-Methyl-1H-benzotriazole (5-Tolytriazole), 5,6-Dimethyl-1H-benzotriazole, 7H-Benzo(de)anthracen-7-one (Benzanthrone), Acetaminophen (Paracetamol), Acetamiprid, AHDI (Phantolide), Anthracene, Atrazine-desethyl, Azithromycin, Benzo[a]pyrene, Benzyldimethyldodecylammonium, Benzyldimethyltetradecylammonium, Benzyltrimethylammonium, Bisphenol-A, Carbendazim, Chlorfenvinphos, Ciprofloxacin, Clarithromycin, Di(2- ethylhexyl)phthalate (DEHP), Dicyclohexylamine, Diuron, Drometrizole, Erythromycin, Fluoranthene, Hexa(methoxymethyl)melamine, Imazalil, Lenacil, Mepiquat chloride, Metalaxyl, Methyl paraben, Metolachlor, N-Benzyldimethylamine, N-Ethyl-2-tolysulfonamide, N,N-Diethyl-m-toluamide, Nonylphenol diethoxylate, Norfloxacin, Ofloxacin, Omethoate, Oxybenzone, Pendimethalin, Piperonylbutoxide, Pirimicarb, Polychlorinated biphenyls, Prochloraz, Propetamphos, Pyridaben, Quinalphos, Sulfamethoxazole, Terbutryn, Tetracycline, Tris(2-butoxyethyl) phosphate"
3,t10,14,32,"1,2,3-Benzotriazole, 4-Chloroaniline, Acetaminophen (Paracetamol), Acetamiprid, Atrazine-desethyl, Azithromycin, Benzylamine, Benzyldimethyldodecylammonium, Benzyldimethyltetradecylammonium, Benzyltrimethylammonium, Carbendazim, Ciprofloxacin, Clarithromycin, Di(2- ethylhexyl)phthalate (DEHP), Dicyclohexylamine, Flutriafol, Hexa(methoxymethyl)melamine, Homosalate, Imazamox, Methyl -iso-propylcyclohexenone, Myclobutanil, N-Benzyldimethylamine, N-Ethyl-2-tolysulfonamide, N,N-Diethyl-m-toluamide, Norfloxacin, Ofloxacin, Omethoate, Piperonylbutoxide, Polychlorinated biphenyls, Prochloraz, Tetracycline, Tris(2-butoxyethyl) phosphate"
4,t12-2,16,22,"1,2,3-Benzotriazole, 4-tert-Octylphenol diethoxylate, 5-Methyl-1H-benzotriazole (5-Tolytriazole), Acetaminophen (Paracetamol), Aclonifen, Azithromycin, Benzyldimethyldodecylammonium, Benzyldimethyltetradecylammonium, Boisvelone / Iso-Esuper, Clarithromycin, Hexa(methoxymethyl)melamine, Homosalate, Metolachlor, N-Benzyldimethylamine, N,N-Diethyl-m-toluamide, Norfloxacin, Ofloxacin, Oxybenzone, Piperonylbutoxide, Polychlorinated biphenyls, Tetracycline, Tris(2-butoxyethyl) phosphate"
5,t12-5,17,19,"1,2,3-Benzotriazole, 5-Methyl-1H-benzotriazole (5-Tolytriazole), Aclonifen, Azithromycin, Benzyldimethyldodecylammonium, Benzyldimethyltetradecylammonium, Clarithromycin, Drometrizole, Ethylhexylmethoxycinnamate, Hexa(methoxymethyl)melamine, Metolachlor, Microcystin-RR, Myclobutanil, N,N-Diethyl-m-toluamide, Norfloxacin, Ofloxacin, Piperonylbutoxide, Polychlorinated biphenyls, Tris(2-butoxyethyl) phosphate"
6,t13-2,18,21,"1,2,3-Benzotriazole, 5-Methyl-1H-benzotriazole (5-Tolytriazole), Azithromycin, Benzylamine, Benzyldimethyldodecylammonium, Benzyldimethyltetradecylammonium, Benzyltrimethylammonium, Ciprofloxacin, Dicyclohexylamine, Ethylhexylmethoxycinnamate, g-Methylionone, Metolachlor, Molinate, Myclobutanil, N-Benzyldimethylamine, N,N-Diethyl-m-toluamide, Norfloxacin, Ofloxacin, Piperonylbutoxide, Polychlorinated biphenyls, Prochloraz"
7,t13-3,19,25,"1,2,3-Benzotriazole, 7H-Benzo(de)anthracen-7-one (Benzanthrone), Azithromycin, Benzyldimethyldodecylammonium, Benzyldimethyltetradecylammonium, Benzyltrimethylammonium, Boisvelone / Iso-Esuper, Carbendazim, Clarithromycin, Dicyclohexylamine, Drometrizole, Homosalate, Metolachlor, Microcystin-RR, Molinate, Myclobutanil, N-Benzyldimethylamine, N,N-Diethyl-m-toluamide, Norfloxacin, Ofloxacin, Oxadiazon, Piperonylbutoxide, Polychlorinated biphenyls, Prochloraz, Sulfamethoxazole"
8,t13-4,20,21,"1,2,3-Benzotriazole, Anthracene, Atrazine-desethyl, Azithromycin, Benzyldimethyldodecylammonium, Benzyldimethyltetradecylammonium, Benzyltrimethylammonium, Clarithromycin, Di(2- ethylhexyl)phthalate (DEHP), Imazamox, Metolachlor, Microcystin-RR, Molinate, Myclobutanil, N-Benzyldimethylamine, N,N-Diethyl-m-toluamide, Norfloxacin, Ofloxacin, Oxadiazon, Piperonylbutoxide, Polychlorinated biphenyls"
9,t14-2,21,19,"1,2,3-Benzotriazole, Atrazine, Azithromycin, Benzyldimethyldodecylammonium, Benzyldimethyltetradecylammonium, Benzyltrimethylammonium, Dicyclohexylamine, Ethylhexylmethoxycinnamate, Hexa(methoxymethyl)melamine, Methyl -iso-propylcyclohexenone, Molinate, Myclobutanil, N-Benzyldimethylamine, N,N-Diethyl-m-toluamide, Norfloxacin, Ofloxacin, Piperonylbutoxide, Polychlorinated biphenyls, Terbuthylazine"
