Parameters	Latitude	Longitude	Elevation
cc3	41°14'18.9"	27°52'11.0"	130
m1	41°05'24.5"	27°28'08.6"	118
m8	41°21'48.4"	27°19'36.4"	43
t15	41°16'30.7"	26°40'54.6"	12
ec1	41°20'47.9"	27°49'53.5"	111
m3	41°12'11.3"	27°28'37.1"	68
m7	41°21'07.2"	27°21'05.9"	48
m9	41°20'52.5"	27°17'16.3"	45
t2-3	41°18'20.2"	27°31'18.3"	69
t7-1	41°25'05.6"	27°13'10.4"	53
t1-2	41°15'42.9"	27°32'53.2"	83
t16	41°15'02.3"	26°38'41.8"	12
t2-2	41°17'33.5"	27°30'12.4"	55
cc8	41°10'17.0"	27°47'41.6"	120
t11-1	40°56'54.5"	26°55'51.6"	102
t7-2	41°22'11.6"	27°10'33.6"	42
t18	41°05'09.1"	26°32'50.2"	21
m13	41°20'09.9"	26°55'20.9"	28
t12-3	41°40'59.4"	27°11'53.1"	166
cc10	41°08'32.9"	27°35'56.9"	89
cc6	41°12'26.8"	27°51'50.8"	150
t10	41°21'01.7"	27°06'33.4"	41
t8-1	41°03'36.5"	27°20'19.6"	111
t12-5	41°21'52.9"	27°03'42.5"	38
t14-2	41°18'30.9"	26°47'23.2"	18
t1-1	41°16'37.6"	27°34'57.2"	101
ec7	41°13'00.3"	27°31'34.8"	76
t12-4	41°27'15.8"	27°02'43.4"	63
t3-1	41°20'34.1"	27°27'24.8"	57
t13-3	41°22'56.9"	26°54'42.7"	34
