sensor_key,distance_threshold,outlier_threshold,remove_intersections,score_threshold,Simulation Duration (seconds),Packet Attempts (Retransmission Included),Successful Transmission Count,Transmission Count,Failed Packet Attempts,Time Spent for Successful Transmissions (seconds),Sent Data Size (byte),Total Energy Consumption (J),Hardware Sleep Mode Energy Consumption (J),Hardware Awakening Mode Energy Consumption (J),Hardware Active Mode Energy Consumption (J),Hardware Collection Mode Energy Consumption (J),Hardware Shutdown Mode Energy Consumption (J),Lorawan Module Energy Consumption (J),LoRaWAN_Sleep_Energy (J),LoRaWAN_Sleep_Time (seconds),LoRaWAN_Standby_Energy (J),LoRaWAN_Standby_Time (seconds),LoRaWAN_TX_Energy (J),LoRaWAN_TX_Time (seconds),LoRaWAN_RX_Energy (J),LoRaWAN_RX_Time (seconds)
cc3,9000.0,2.0,1.0,0.0,86400.0,654.0,217.0,265.0,437.0,7780.53,4122.0,48099.3,11.55,9.075,45261.2,2673.0,1.76,142.798,0.636596,84879.5,1.64869,235.528,121.314,866.525,19.1992,342.843
t15,9000.0,2.0,1.0,0.0,86400.0,652.0,387.0,413.0,265.0,8928.23,7352.0,48105.8,11.55,9.075,45261.2,2673.0,1.76,149.264,0.635932,84791.0,1.21124,173.035,120.76,862.568,26.6576,476.029
m3,9000.0,2.0,1.0,0.0,86400.0,654.0,254.0,299.0,400.0,6221.72,4825.0,48100.4,11.55,9.075,45261.2,2673.0,1.76,143.868,0.637026,84936.7,1.58428,226.326,121.498,867.844,20.1484,359.793
m9,9000.0,2.0,1.0,0.0,86400.0,657.0,251.0,292.0,406.0,11219.5,4768.0,48082.7,35.5692,27.225,45194.4,2673.0,7.04,145.466,0.635853,84780.4,1.61462,230.66,121.314,866.525,21.9022,391.111
t2-3,9000.0,2.0,1.0,0.0,86400.0,656.0,337.0,368.0,319.0,10557.5,6402.0,48116.2,9.9,18.15,45256.2,2673.0,3.52,155.428,0.635793,84772.4,1.0267,146.672,121.314,866.525,32.4517,579.494
t7-1,9000.0,2.0,1.0,0.0,86400.0,658.0,294.0,335.0,364.0,5878.99,5585.0,48098.1,19.5343,27.225,45226.5,2673.0,7.04,144.796,0.63657,84876.0,1.5554,222.2,121.498,867.844,21.1063,376.898
t1-2,9000.0,2.0,1.0,0.0,86400.0,649.0,361.0,391.0,288.0,7678.92,6858.0,48105.7,11.275,18.15,45253.5,2673.0,3.52,146.276,0.636293,84839.0,1.40136,200.194,121.129,865.206,23.1096,412.672
t16,9000.0,2.0,1.0,0.0,86400.0,656.0,240.0,288.0,416.0,5156.74,4559.0,48102.4,9.9,18.15,45256.2,2673.0,3.52,141.67,0.636536,84871.4,1.70318,243.312,121.314,866.525,18.0166,321.724
t2-2,9000.0,2.0,1.0,0.0,86400.0,655.0,422.0,444.0,233.0,9098.23,8017.0,48102.2,23.0009,36.3,45211.3,2673.0,8.8,149.8,0.635995,84799.3,1.21008,172.869,120.944,863.887,27.0099,482.32
cc8,9000.0,2.0,1.0,0.0,86400.0,654.0,261.0,307.0,393.0,4340.33,4958.0,48101.6,9.9,18.15,45256.2,2673.0,3.52,140.805,0.636766,84902.1,1.75925,251.321,121.314,866.525,17.0954,305.275
t7-2,9000.0,2.0,1.0,0.0,86400.0,654.0,389.0,419.0,265.0,4762.55,7390.0,48107.0,11.275,18.15,45253.5,2673.0,3.52,147.561,0.636427,84857.0,1.26527,180.752,120.944,863.887,24.7148,441.336
cc6,9000.0,2.0,1.0,0.0,86400.0,657.0,430.0,449.0,227.0,11482.0,8169.0,48107.4,14.9294,27.225,45235.7,2673.0,7.04,149.492,0.636391,84852.1,1.2337,176.242,121.314,866.525,26.3085,469.795
t10,9000.0,2.0,1.0,0.0,86400.0,659.0,359.0,388.0,300.0,10228.7,6820.0,48107.0,14.7646,18.15,45244.3,2673.0,5.28,151.581,0.636242,84832.2,1.13917,162.739,121.683,869.163,28.1224,502.186
t12-5,9000.0,2.0,1.0,0.0,86400.0,655.0,229.0,277.0,426.0,6391.0,4350.0,48088.8,32.3112,36.3,45192.7,2673.0,8.8,145.747,0.63594,84792.0,1.49628,213.754,120.944,863.887,22.6706,404.832
t14-2,9000.0,2.0,1.0,0.0,86400.0,656.0,399.0,425.0,257.0,7905.44,7580.0,48098.2,26.7847,36.3,45203.7,2673.0,8.8,149.633,0.635948,84793.0,1.14988,164.268,121.129,865.206,26.7182,477.11
t1-1,9000.0,2.0,1.0,0.0,86400.0,650.0,277.0,316.0,373.0,9084.96,5262.0,48101.5,14.025,18.15,45248.0,2673.0,3.52,144.855,0.636673,84889.8,1.57408,224.869,121.314,866.525,21.3306,380.903
ec7,9000.0,2.0,1.0,0.0,86400.0,656.0,178.0,232.0,478.0,6703.27,3381.0,48094.9,15.4,18.15,45245.2,2673.0,3.52,139.68,0.637421,84989.4,1.76641,252.344,121.314,866.525,15.9623,285.041
t12-4,9000.0,2.0,1.0,0.0,86400.0,659.0,324.0,361.0,335.0,6307.14,6155.0,48094.3,32.2751,36.3,45192.7,2673.0,8.8,151.141,0.635644,84752.5,1.1463,163.757,121.683,869.163,27.676,494.215
t3-1,9000.0,2.0,1.0,0.0,86400.0,655.0,377.0,406.0,278.0,7516.81,7162.0,48103.4,16.775,18.15,45242.5,2673.0,3.52,149.481,0.636465,84862.0,1.38863,198.375,121.314,866.525,26.1424,466.829
cc3,2500.0,0.0,1.0,0.0,86400.0,659.0,453.0,471.0,206.0,9673.82,8606.0,48095.4,29.7155,27.225,45206.1,2673.0,7.04,152.319,0.635955,84794.0,0.728315,104.045,121.683,869.163,29.2716,522.707
m1,2500.0,0.0,1.0,0.0,86400.0,647.0,636.0,636.0,11.0,3623.13,12083.0,48097.3,35.4748,27.225,45194.6,2673.0,7.04,159.939,0.63523,84697.3,0.056074,8.01057,119.467,853.336,39.7811,710.377
m8,2500.0,0.0,1.0,0.0,86400.0,659.0,423.0,444.0,236.0,10334.8,8036.0,48088.8,35.2753,27.225,45195.0,2673.0,7.04,151.21,0.635863,84781.7,0.82352,117.646,121.683,869.163,28.0683,501.219
t15,2500.0,0.0,1.0,0.0,86400.0,659.0,308.0,344.0,351.0,9287.83,5851.0,48090.0,33.6835,27.225,45198.2,2673.0,7.04,150.915,0.635771,84769.5,1.00964,144.234,121.683,869.163,27.5871,492.626
ec1,2500.0,0.0,1.0,0.0,86400.0,649.0,619.0,619.0,30.0,6030.66,11760.0,48100.4,29.7483,27.225,45206.1,2673.0,7.04,157.378,0.635661,84754.8,0.159852,22.836,119.836,855.974,36.7465,656.187
m3,2500.0,0.0,1.0,0.0,86400.0,654.0,473.0,490.0,181.0,7462.38,8986.0,48109.5,11.55,9.075,45261.2,2673.0,1.76,152.96,0.636453,84860.4,0.573963,81.9948,121.867,870.482,29.8817,533.602
m7,2500.0,0.0,1.0,0.0,86400.0,658.0,435.0,459.0,223.0,5529.42,8264.0,48107.2,19.5878,27.225,45226.4,2673.0,7.04,153.978,0.636206,84827.5,0.630145,90.0208,121.498,867.844,31.2135,557.384
m9,2500.0,0.0,1.0,0.0,86400.0,654.0,580.0,584.0,74.0,7534.28,11019.0,48117.0,15.4055,18.15,45243.0,2673.0,5.28,162.169,0.63558,84744.0,0.234343,33.4776,120.76,862.568,40.5395,723.919
t2-3,2500.0,0.0,1.0,0.0,86400.0,659.0,227.0,273.0,432.0,9125.95,4312.0,48112.0,11.55,9.075,45261.2,2673.0,1.76,155.42,0.635724,84763.2,0.896043,128.006,121.867,870.482,32.0209,571.802
t7-1,2500.0,0.0,1.0,0.0,86400.0,657.0,611.0,614.0,46.0,4945.57,11608.0,48110.8,16.7335,18.15,45240.3,2673.0,5.28,157.319,0.63624,84832.1,0.231849,33.1213,121.314,866.525,35.1372,627.45
t1-2,2500.0,0.0,1.0,0.0,86400.0,659.0,386.0,416.0,273.0,5661.18,7333.0,48091.4,32.5664,27.225,45200.4,2673.0,7.04,151.115,0.635914,84788.5,0.861627,123.09,121.683,869.163,27.9348,498.835
t16,2500.0,0.0,1.0,0.0,86400.0,652.0,367.0,401.0,285.0,3024.76,6972.0,48115.0,9.9,18.15,45256.2,2673.0,3.52,154.265,0.63588,84783.9,0.804521,114.932,120.76,862.568,32.0649,572.588
t2-2,2500.0,0.0,1.0,0.0,86400.0,659.0,504.0,518.0,155.0,7346.97,9575.0,48106.5,22.0651,27.225,45221.4,2673.0,7.04,155.793,0.636043,84805.8,0.488637,69.8053,121.683,869.163,32.9856,589.029
cc8,2500.0,0.0,1.0,0.0,86400.0,649.0,575.0,581.0,74.0,5460.55,10924.0,48101.7,33.6603,27.225,45198.2,2673.0,7.04,162.521,0.634796,84639.5,0.234088,33.4412,119.836,855.974,41.8162,746.717
t11-1,2500.0,0.0,1.0,0.0,86400.0,641.0,639.0,639.0,2.0,2378.92,12140.0,48100.6,24.2,18.15,45225.4,2673.0,5.28,154.599,0.636299,84839.9,0.0218337,3.11909,118.359,845.423,35.5813,635.38
t7-2,2500.0,0.0,1.0,0.0,86400.0,654.0,622.0,623.0,32.0,5303.17,11817.0,48114.4,17.8806,18.15,45238.0,2673.0,5.28,162.001,0.635624,84749.9,0.13933,19.9042,120.76,862.568,40.4661,722.608
t18,2500.0,0.0,1.0,0.0,86400.0,641.0,639.0,639.0,2.0,2428.92,12140.0,48103.4,24.2,18.15,45225.4,2673.0,5.28,157.375,0.635926,84790.1,0.0232918,3.32741,118.359,845.423,38.3567,684.941
m13,2500.0,0.0,1.0,0.0,86400.0,648.0,562.0,569.0,86.0,5806.75,10677.0,48091.5,35.601,27.225,45194.3,2673.0,7.04,154.252,0.635784,84771.2,0.28924,41.3201,119.652,854.655,33.6751,601.342
t12-3,2500.0,0.0,1.0,0.0,86400.0,641.0,639.0,639.0,2.0,2378.92,12140.0,48100.6,24.2,18.15,45225.4,2673.0,5.28,154.599,0.636299,84839.9,0.0218329,3.11898,118.359,845.423,35.5813,635.38
cc10,2500.0,0.0,1.0,0.0,86400.0,657.0,548.0,558.0,109.0,5647.78,10411.0,48118.0,11.1578,18.15,45251.5,2673.0,5.28,158.905,0.636115,84815.4,0.301086,43.0123,121.314,866.525,36.6538,654.533
cc6,2500.0,0.0,1.0,0.0,86400.0,656.0,387.0,417.0,269.0,5136.2,7352.0,48099.7,29.5414,36.3,45198.2,2673.0,8.8,153.817,0.635653,84753.8,0.745829,106.547,121.129,865.206,31.3062,559.038
t10,2500.0,0.0,1.0,0.0,86400.0,659.0,415.0,438.0,244.0,9273.74,7884.0,48100.4,22.7253,18.15,45228.3,2673.0,5.28,152.925,0.636216,84828.8,0.742919,106.131,121.683,869.163,29.8634,533.275
