sensor_key,distance_threshold,outlier_threshold,remove_intersections,score_threshold,Simulation Duration (seconds),Packet Attempts (Retransmission Included),Successful Transmission Count,Transmission Count,Failed Packet Attempts,Time Spent for Successful Transmissions (seconds),Sent Data Size (byte),Total Energy Consumption (J),Hardware Sleep Mode Energy Consumption (J),Hardware Awakening Mode Energy Consumption (J),Hardware Active Mode Energy Consumption (J),Hardware Collection Mode Energy Consumption (J),Hardware Shutdown Mode Energy Consumption (J),Lorawan Module Energy Consumption (J),LoRaWAN_Sleep_Energy (J),LoRaWAN_Sleep_Time (seconds),LoRaWAN_Standby_Energy (J),LoRaWAN_Standby_Time (seconds),LoRaWAN_TX_Energy (J),LoRaWAN_TX_Time (seconds),LoRaWAN_RX_Energy (J),LoRaWAN_RX_Time (seconds)
t1-2,7500.0,0.0,0.0,0.0,86400.0,659.0,260.0,308.0,399.0,2853.29,4939.0,48081.8,32.5606,27.225,45200.4,2673.0,7.04,141.549,0.636678,84890.4,1.41302,201.86,121.683,869.163,17.8166,318.153
t8-1,7500.0,0.0,0.0,0.0,86400.0,643.0,634.0,634.0,9.0,3380.35,12045.0,48102.2,24.2,18.15,45225.4,2673.0,5.28,156.12,0.635943,84792.4,0.194438,27.7769,118.728,848.06,36.5616,652.886
t3-1,7500.0,0.0,0.0,0.0,86400.0,660.0,355.0,390.0,305.0,4481.86,6744.0,48098.7,33.6535,27.225,45198.2,2673.0,7.04,159.572,0.635065,84675.3,0.542816,77.5452,121.867,870.482,36.5263,652.255
cc2,7500.0,0.0,0.0,0.0,86400.0,658.0,204.0,251.0,454.0,10970.7,3875.0,48083.5,35.4918,27.225,45194.6,2673.0,7.04,146.177,0.635955,84794.0,1.42235,203.193,121.498,867.844,22.6206,403.939
cc8,7500.0,0.0,0.0,0.0,86400.0,656.0,0.0,82.0,656.0,0.0,0.0,48089.4,11.55,9.075,45261.2,2673.0,1.76,132.835,0.637414,84988.5,2.20994,315.705,121.867,870.482,8.12037,145.007
t3-2,7500.0,0.0,0.0,0.0,86400.0,658.0,242.0,288.0,416.0,7149.52,4597.0,48109.1,9.9,18.15,45256.2,2673.0,3.52,148.359,0.636058,84807.8,1.30255,186.078,121.683,869.163,24.7377,441.745
ec6,7500.0,0.0,0.0,0.0,86400.0,660.0,240.0,286.0,420.0,7624.18,4559.0,48096.5,25.6159,36.3,45206.1,2673.0,8.8,146.749,0.636279,84837.2,1.26593,180.847,121.867,870.482,22.9798,410.354
t4,7500.0,0.0,0.0,0.0,86400.0,645.0,436.0,456.0,209.0,7969.03,8283.0,48109.3,11.55,9.075,45261.2,2673.0,1.76,152.768,0.635859,84781.2,0.788445,112.635,120.39,859.931,30.9534,552.739
t7-1,7500.0,0.0,0.0,0.0,86400.0,661.0,320.0,360.0,341.0,3848.58,6079.0,48106.9,12.2682,9.075,45257.5,2673.0,3.52,151.504,0.636705,84894.1,0.935751,133.679,122.052,871.801,27.8793,497.844
ec5,7500.0,0.0,0.0,0.0,86400.0,657.0,474.0,493.0,183.0,5787.69,9005.0,48101.6,32.6242,36.3,45192.1,2673.0,8.8,158.835,0.635049,84673.2,0.639879,91.4112,121.314,866.525,36.2469,647.266
