Parameters	Latitude	Longitude	Elevation
m1	41°05'24.5"	27°28'08.6"	118
t13-1	41°47'09.3"	27°07'45.4"	244
t5-1	41°25'43.3"	27°22'02.3"	62
t11-2	40°55'17.1"	26°55'33.4"	129
t12-3	41°40'59.4"	27°11'53.1"	166
t16	41°15'02.3"	26°38'41.8"	12
ec1	41°20'47.9"	27°49'53.5"	111
m18	41°02'25.5"	26°21'21.4"	12
cc7	41°10'53.3"	27°48'47.9"	136
m17	41°07'46.5"	26°28'48.2"	19
cc2	41°17'36.3"	27°56'39.2"	154
t11-1	40°56'54.5"	26°55'51.6"	102
t12-4	41°27'15.8"	27°02'43.4"	63
t13-3	41°22'56.9"	26°54'42.7"	34
m14	41°19'27.6"	26°49'45.2"	18
t17	41°12'23.9"	26°36'28.6"	11
cc3	41°14'18.9"	27°52'11.0"	130
ec2	41°07'48.1"	27°46'22.7"	95
t8-1	41°03'36.5"	27°20'19.6"	111
m15	41°17'05.4"	26°41'55.6"	24
t18	41°05'09.1"	26°32'50.2"	21
t13-2	41°24'23.4"	26°55'44.2"	37
cc11	41°09'49.2"	27°29'35.7"	87
ec6	41°15'51.1"	27°38'20.6"	107
t13-4	41°20'54.9"	26°53'11.1"	22
cc6	41°12'26.8"	27°51'50.8"	150
t14-2	41°18'30.9"	26°47'23.2"	18
m8	41°21'48.4"	27°19'36.4"	43
cc10	41°08'32.9"	27°35'56.9"	89
ec7	41°13'00.3"	27°31'34.8"	76
