sensor_key,distance_threshold,outlier_threshold,remove_intersections,score_threshold,Simulation Duration (seconds),Packet Attempts (Retransmission Included),Successful Transmission Count,Transmission Count,Failed Packet Attempts,Time Spent for Successful Transmissions (seconds),Sent Data Size (byte),Total Energy Consumption (J),Hardware Sleep Mode Energy Consumption (J),Hardware Awakening Mode Energy Consumption (J),Hardware Active Mode Energy Consumption (J),Hardware Collection Mode Energy Consumption (J),Hardware Shutdown Mode Energy Consumption (J),Lorawan Module Energy Consumption (J),LoRaWAN_Sleep_Energy (J),LoRaWAN_Sleep_Time (seconds),LoRaWAN_Standby_Energy (J),LoRaWAN_Standby_Time (seconds),LoRaWAN_TX_Energy (J),LoRaWAN_TX_Time (seconds),LoRaWAN_RX_Energy (J),LoRaWAN_RX_Time (seconds)
m1,10000.0,2.0,1.0,0.0,86400.0,658.0,155.0,212.0,503.0,6775.61,2944.0,48083.7,35.1791,27.225,45195.2,2673.0,7.04,146.021,0.635741,84765.4,1.68195,240.278,121.498,867.844,22.205,396.517
ec1,10000.0,2.0,1.0,0.0,86400.0,652.0,163.0,222.0,489.0,2903.95,3096.0,48094.6,11.55,9.075,45261.2,2673.0,1.76,138.063,0.63741,84988.0,1.92909,275.584,121.683,869.163,13.8139,246.678
cc7,10000.0,2.0,1.0,0.0,86400.0,656.0,164.0,222.0,492.0,4297.57,3115.0,48100.0,9.79612,27.225,45246.0,2673.0,7.04,136.96,0.637577,85010.2,1.85317,264.738,121.129,865.206,13.3405,238.223
cc2,10000.0,2.0,1.0,0.0,86400.0,656.0,349.0,383.0,307.0,5910.72,6630.0,48090.8,32.1045,36.3,45193.1,2673.0,8.8,147.531,0.63593,84790.7,1.31436,187.766,121.129,865.206,24.4515,436.634
t13-3,10000.0,2.0,1.0,0.0,86400.0,652.0,106.0,164.0,546.0,11118.2,2013.0,48096.8,11.55,9.075,45261.2,2673.0,1.76,140.231,0.637253,84967.0,1.76892,252.703,121.683,869.163,16.1416,288.244
m14,10000.0,2.0,1.0,0.0,86400.0,658.0,146.0,206.0,512.0,4776.21,2773.0,48081.2,32.1516,36.3,45193.0,2673.0,8.8,137.942,0.636628,84883.7,1.93003,275.719,121.498,867.844,13.8768,247.8
cc3,10000.0,2.0,1.0,0.0,86400.0,656.0,299.0,337.0,357.0,8128.3,5680.0,48107.9,12.65,18.15,45250.7,2673.0,3.52,149.857,0.63626,84834.6,1.45863,208.375,121.498,867.844,26.264,469.0
t13-2,10000.0,2.0,1.0,0.0,86400.0,658.0,196.0,248.0,462.0,6780.92,3723.0,48099.2,16.0397,27.225,45233.5,2673.0,7.04,142.427,0.636906,84920.8,1.67762,239.661,121.498,867.844,18.6139,332.39
cc11,10000.0,2.0,1.0,0.0,86400.0,655.0,422.0,443.0,233.0,10096.8,8017.0,48091.3,32.1809,36.3,45192.9,2673.0,8.8,148.067,0.635917,84788.9,1.19379,170.541,120.944,863.887,25.2933,451.666
t13-4,10000.0,2.0,1.0,0.0,86400.0,653.0,470.0,489.0,183.0,5947.44,8929.0,48100.6,32.1756,36.3,45192.9,2673.0,8.8,157.395,0.634912,84655.0,0.980824,140.118,120.575,861.25,35.2042,628.646
