sensor_key,distance_threshold,outlier_threshold,remove_intersections,score_threshold,Simulation Duration (seconds),Packet Attempts (Retransmission Included),Successful Transmission Count,Transmission Count,Failed Packet Attempts,Time Spent for Successful Transmissions (seconds),Sent Data Size (byte),Total Energy Consumption (J),Hardware Sleep Mode Energy Consumption (J),Hardware Awakening Mode Energy Consumption (J),Hardware Active Mode Energy Consumption (J),Hardware Collection Mode Energy Consumption (J),Hardware Shutdown Mode Energy Consumption (J),Lorawan Module Energy Consumption (J),LoRaWAN_Sleep_Energy (J),LoRaWAN_Sleep_Time (seconds),LoRaWAN_Standby_Energy (J),LoRaWAN_Standby_Time (seconds),LoRaWAN_TX_Energy (J),LoRaWAN_TX_Time (seconds),LoRaWAN_RX_Energy (J),LoRaWAN_RX_Time (seconds)
ec6,6000.0,1.0,0.0,0.0,86400.0,657.0,330.0,361.0,327.0,11578.9,6269.0,48087.9,35.5752,27.225,45194.4,2673.0,7.04,150.697,0.635479,84730.5,1.26595,180.85,121.314,866.525,27.4825,490.758
cc2,6000.0,1.0,0.0,0.0,86400.0,656.0,355.0,380.0,301.0,14513.4,6744.0,48087.0,35.5346,27.225,45194.5,2673.0,7.04,149.682,0.635743,84765.7,1.11501,159.287,121.129,865.206,26.8021,478.609
t6,6000.0,1.0,0.0,0.0,86400.0,653.0,256.0,295.0,397.0,12097.1,4863.0,48100.4,11.55,9.075,45261.2,2673.0,1.76,143.891,0.636204,84827.2,1.56974,224.249,121.498,867.844,20.1865,360.473
t1-1,6000.0,1.0,0.0,0.0,86400.0,658.0,309.0,347.0,349.0,7047.85,5870.0,48104.5,21.2333,27.225,45223.1,2673.0,7.04,152.878,0.63564,84752.1,1.21506,173.58,121.498,867.844,29.5294,527.311
t3-1,6000.0,1.0,0.0,0.0,86400.0,654.0,478.0,492.0,176.0,10158.8,9081.0,48109.5,11.55,9.075,45261.2,2673.0,1.76,152.925,0.635735,84764.7,0.945515,135.074,121.129,865.206,30.2148,539.55
t7-1,6000.0,1.0,0.0,0.0,86400.0,652.0,148.0,206.0,504.0,5819.41,2811.0,48094.3,9.9,18.15,45256.2,2673.0,3.52,133.496,0.637166,84955.4,2.03591,290.844,121.498,867.844,9.32459,166.511
t3-2,6000.0,1.0,0.0,0.0,86400.0,655.0,495.0,507.0,160.0,10265.2,9404.0,48119.1,9.9,18.15,45256.2,2673.0,3.52,158.28,0.635147,84686.2,0.793039,113.291,121.129,865.206,35.723,637.911
cc8,6000.0,1.0,0.0,0.0,86400.0,655.0,202.0,250.0,453.0,9803.96,3837.0,48105.9,11.55,9.075,45261.2,2673.0,1.76,149.32,0.635669,84755.9,1.4556,207.943,121.314,866.525,25.9149,462.766
cc7,6000.0,1.0,0.0,0.0,86400.0,656.0,473.0,488.0,183.0,10061.7,8986.0,48113.8,9.9,18.15,45256.2,2673.0,3.52,153.08,0.635551,84740.1,1.04743,149.633,121.314,866.525,30.0831,537.199
t1-2,6000.0,1.0,0.0,0.0,86400.0,657.0,376.0,401.0,281.0,12041.5,7143.0,48101.7,25.4947,36.3,45206.3,2673.0,8.8,151.765,0.635648,84753.1,1.17825,168.321,121.314,866.525,28.6371,511.377
cc6,6000.0,1.0,0.0,0.0,86400.0,655.0,390.0,417.0,265.0,7903.6,7409.0,48111.8,11.275,18.15,45253.5,2673.0,3.52,152.437,0.635536,84738.1,1.09626,156.609,121.129,865.206,29.5762,528.146
cc1,6000.0,1.0,0.0,0.0,86400.0,655.0,452.0,473.0,203.0,6315.06,8587.0,48096.6,32.4374,36.3,45192.4,2673.0,8.8,153.661,0.63539,84718.7,0.948927,135.561,120.944,863.887,31.1327,555.942
t2-3,6000.0,1.0,0.0,0.0,86400.0,649.0,270.0,311.0,379.0,7743.03,5129.0,48106.5,11.275,18.15,45253.5,2673.0,3.52,147.056,0.635958,84794.4,1.48035,211.479,121.129,865.206,23.8111,425.198
ec5,6000.0,1.0,0.0,0.0,86400.0,656.0,479.0,496.0,177.0,7249.98,9100.0,48111.9,21.3077,36.3,45214.7,2673.0,8.8,157.805,0.6352,84693.4,0.898701,128.386,121.129,865.206,35.1422,627.54
t9,6000.0,1.0,0.0,0.0,86400.0,650.0,301.0,340.0,349.0,6039.77,5718.0,48102.2,11.275,18.15,45253.5,2673.0,3.52,142.81,0.6363,84840.0,1.61818,231.169,121.314,866.525,19.2419,343.605
cc3,6000.0,1.0,0.0,0.0,86400.0,656.0,438.0,458.0,218.0,9287.83,8321.0,48095.7,32.2907,36.3,45192.7,2673.0,8.8,152.599,0.635462,84728.3,1.12393,160.562,121.129,865.206,29.7106,530.547
t7-2,6000.0,1.0,0.0,0.0,86400.0,655.0,507.0,518.0,148.0,9846.65,9632.0,48102.6,26.8315,36.3,45203.6,2673.0,8.8,154.02,0.635466,84728.8,1.05959,151.369,120.944,863.887,31.3805,560.366
ec7,6000.0,1.0,0.0,0.0,86400.0,655.0,330.0,364.0,325.0,8242.03,6269.0,48105.2,12.65,18.15,45250.7,2673.0,3.52,147.194,0.635937,84791.6,1.43496,204.994,121.129,865.206,23.9941,428.466
t2-2,6000.0,1.0,0.0,0.0,86400.0,655.0,338.0,371.0,317.0,8241.54,6421.0,48102.8,14.025,18.15,45248.0,2673.0,3.52,146.112,0.636233,84831.1,1.39039,198.627,121.129,865.206,22.9564,409.936
cc9,6000.0,1.0,0.0,0.0,86400.0,653.0,335.0,369.0,318.0,7330.6,6364.0,48106.2,14.025,18.15,45248.0,2673.0,3.52,149.542,0.635652,84753.6,1.3434,191.915,120.944,863.887,26.6191,475.341
