Parameters	Latitude	Longitude	Elevation
ec5	41°13'46.5"	27°38'35.7"	83
t8-1	41°03'36.5"	27°20'19.6"	111
m7	41°21'07.2"	27°21'05.9"	48
cc7	41°10'53.3"	27°48'47.9"	136
t16	41°15'02.3"	26°38'41.8"	12
t13-4	41°20'54.9"	26°53'11.1"	22
t18	41°05'09.1"	26°32'50.2"	21
m1	41°05'24.5"	27°28'08.6"	118
t12-2	41°04'41.3"	27°04'35.5"	31
ec6	41°15'51.1"	27°38'20.6"	107
m8	41°21'48.4"	27°19'36.4"	43
m14	41°19'27.6"	26°49'45.2"	18
t5-1	41°25'43.3"	27°22'02.3"	62
t10	41°21'01.7"	27°06'33.4"	41
t3-1	41°20'34.1"	27°27'24.8"	57
t7-1	41°25'05.6"	27°13'10.4"	53
t14-1	41°16'36.0"	27°01'09.6"	100
t1-2	41°15'42.9"	27°32'53.2"	83
m2	41°11'42.7"	27°27'56.7"	70
t2-3	41°18'20.2"	27°31'18.3"	69
t12-5	41°21'52.9"	27°03'42.5"	38
m16	41°14'48.6"	26°37'06.6"	18
t13-1	41°47'09.3"	27°07'45.4"	244
t13-2	41°24'23.4"	26°55'44.2"	37
t14-2	41°18'30.9"	26°47'23.2"	18
t13-3	41°22'56.9"	26°54'42.7"	34
ec1	41°20'47.9"	27°49'53.5"	111
m13	41°20'09.9"	26°55'20.9"	28
t11-1	40°56'54.5"	26°55'51.6"	102
cc10	41°08'32.9"	27°35'56.9"	89
