sensor_key,distance_threshold,outlier_threshold,remove_intersections,score_threshold,Simulation Duration (seconds),Packet Attempts (Retransmission Included),Successful Transmission Count,Transmission Count,Failed Packet Attempts,Time Spent for Successful Transmissions (seconds),Sent Data Size (byte),Total Energy Consumption (J),Hardware Sleep Mode Energy Consumption (J),Hardware Awakening Mode Energy Consumption (J),Hardware Active Mode Energy Consumption (J),Hardware Collection Mode Energy Consumption (J),Hardware Shutdown Mode Energy Consumption (J),Lorawan Module Energy Consumption (J),LoRaWAN_Sleep_Energy (J),LoRaWAN_Sleep_Time (seconds),LoRaWAN_Standby_Energy (J),LoRaWAN_Standby_Time (seconds),LoRaWAN_TX_Energy (J),LoRaWAN_TX_Time (seconds),LoRaWAN_RX_Energy (J),LoRaWAN_RX_Time (seconds)
ec5,4000.0,1.0,0.0,0.0,86400.0,656.0,257.0,299.0,399.0,9210.81,4882.0,48076.5,35.1525,27.225,45195.2,2673.0,7.04,138.877,0.63667,84889.3,1.68077,240.109,121.129,865.206,15.4306,275.546
m7,4000.0,1.0,0.0,0.0,86400.0,655.0,254.0,295.0,401.0,10440.6,4825.0,48078.1,35.5696,27.225,45194.4,2673.0,7.04,140.838,0.636572,84876.3,1.4769,210.986,120.944,863.887,17.7808,317.514
t16,4000.0,1.0,0.0,0.0,86400.0,653.0,491.0,506.0,162.0,7327.33,9328.0,48099.7,22.7516,18.15,45228.3,2673.0,5.28,152.254,0.636065,84808.6,0.904405,129.201,120.575,861.25,30.1391,538.198
t13-4,4000.0,1.0,0.0,0.0,86400.0,654.0,326.0,363.0,328.0,5316.76,6193.0,48103.7,11.55,9.075,45261.2,2673.0,1.76,147.123,0.636739,84898.6,1.12048,160.069,121.683,869.163,23.6831,422.912
ec6,4000.0,1.0,0.0,0.0,86400.0,654.0,263.0,311.0,391.0,1922.65,4996.0,48090.9,20.8532,27.225,45223.8,2673.0,7.04,138.9,0.637178,84957.1,1.64745,235.35,120.76,862.568,15.8558,283.14
m8,4000.0,1.0,0.0,0.0,86400.0,654.0,258.0,306.0,396.0,2563.94,4901.0,48084.9,32.3217,36.3,45192.7,2673.0,8.8,141.832,0.636385,84851.3,1.56496,223.566,120.76,862.568,18.8712,336.986
t10,4000.0,1.0,0.0,0.0,86400.0,656.0,362.0,391.0,294.0,9363.24,6877.0,48081.3,35.4405,27.225,45194.7,2673.0,7.04,143.895,0.636455,84860.6,1.18508,169.296,121.129,865.206,20.9448,374.014
t3-1,4000.0,1.0,0.0,0.0,86400.0,656.0,523.0,531.0,133.0,10906.8,9936.0,48093.1,35.4653,27.225,45194.6,2673.0,7.04,155.734,0.635355,84714.0,0.665791,95.1131,121.129,865.206,33.304,594.715
t2-3,4000.0,1.0,0.0,0.0,86400.0,657.0,476.0,492.0,181.0,8622.91,9043.0,48095.9,32.1452,36.3,45193.0,2673.0,8.8,152.662,0.635707,84760.9,0.794004,113.429,121.314,866.525,29.9189,534.266
t12-5,4000.0,1.0,0.0,0.0,86400.0,655.0,473.0,490.0,182.0,7722.96,8986.0,48093.3,32.0956,36.3,45193.1,2673.0,8.8,150.037,0.635925,84790.0,0.906315,129.474,120.944,863.887,27.5504,491.971
m16,4000.0,1.0,0.0,0.0,86400.0,654.0,395.0,423.0,259.0,6102.16,7504.0,48110.0,9.9,18.15,45256.2,2673.0,3.52,149.184,0.636216,84828.8,1.21911,174.159,120.944,863.887,26.3847,471.155
t13-2,4000.0,1.0,0.0,0.0,86400.0,652.0,282.0,324.0,370.0,5487.08,5357.0,48111.9,9.9,18.15,45256.2,2673.0,3.52,151.144,0.63611,84814.7,1.20527,172.181,121.498,867.844,27.804,496.501
t13-3,4000.0,1.0,0.0,0.0,86400.0,653.0,495.0,509.0,158.0,7847.88,9404.0,48097.2,32.149,36.3,45193.0,2673.0,8.8,153.947,0.635489,84731.9,0.819195,117.028,120.575,861.25,31.9177,569.958
m13,4000.0,1.0,0.0,0.0,86400.0,656.0,404.0,428.0,252.0,9351.29,7675.0,48099.6,23.3014,27.225,45218.9,2673.0,7.04,150.087,0.636227,84830.2,1.10485,157.836,121.129,865.206,27.2173,486.023
t13-4,4000.0,2.0,0.0,0.0,86400.0,657.0,58.0,131.0,599.0,2197.81,1101.0,48084.4,11.55,9.075,45261.2,2673.0,1.76,127.906,0.638581,85144.1,2.29114,327.306,121.683,869.163,3.29338,58.8104
t13-2,4000.0,2.0,0.0,0.0,86400.0,657.0,75.0,147.0,582.0,1068.0,1424.0,48093.2,9.9,18.15,45256.2,2673.0,3.52,132.418,0.63817,85089.3,2.10529,300.756,121.867,870.482,7.80704,139.411
t13-3,4000.0,2.0,0.0,0.0,86400.0,645.0,603.0,607.0,42.0,3607.19,11456.0,48097.4,32.2734,36.3,45192.8,2673.0,8.8,154.255,0.635422,84722.9,0.716449,102.35,119.098,850.698,33.805,603.66
m13,4000.0,2.0,0.0,0.0,86400.0,658.0,431.0,451.0,227.0,10329.8,8188.0,48105.7,13.75,18.15,45246.3,2673.0,5.28,149.268,0.63677,84902.7,1.0664,152.343,121.498,867.844,26.0663,465.469
m7,1500.0,1.0,0.0,0.0,86400.0,645.0,503.0,518.0,142.0,4546.63,9556.0,48096.1,22.6729,18.15,45228.5,2673.0,5.28,148.54,0.636794,84905.9,0.532986,76.1409,119.098,850.698,28.272,504.857
t16,1500.0,1.0,0.0,0.0,86400.0,642.0,549.0,558.0,93.0,4583.52,10430.0,48087.7,35.552,27.225,45194.4,2673.0,7.04,150.478,0.636117,84815.6,0.380243,54.3204,118.544,846.742,30.9176,552.1
m8,1500.0,1.0,0.0,0.0,86400.0,643.0,499.0,517.0,144.0,2063.8,9480.0,48109.6,9.9,18.15,45256.2,2673.0,3.52,148.833,0.636033,84804.4,1.28904,184.148,118.913,849.379,27.9949,499.909
m16,1500.0,1.0,0.0,0.0,86400.0,643.0,545.0,557.0,98.0,2466.41,10354.0,48094.4,32.5593,36.3,45192.2,2673.0,8.8,151.512,0.635372,84716.2,1.08202,154.574,118.728,848.06,31.0662,554.754
ec5,8000.0,3.0,1.0,0.0,86400.0,653.0,142.0,199.0,511.0,7737.1,2697.0,48096.3,11.55,9.075,45261.2,2673.0,1.76,139.767,0.636551,84873.5,1.79493,256.419,121.498,867.844,15.837,282.804
m7,8000.0,3.0,1.0,0.0,86400.0,657.0,177.0,231.0,480.0,6943.09,3362.0,48091.1,16.6815,18.15,45240.4,2673.0,5.28,137.525,0.637429,84990.5,1.79344,256.205,121.314,866.525,13.7805,246.079
t13-4,8000.0,3.0,1.0,0.0,86400.0,656.0,220.0,265.0,436.0,10772.6,4179.0,48103.4,11.55,9.075,45261.2,2673.0,1.76,146.818,0.636618,84882.4,1.40163,200.233,121.314,866.525,23.4661,419.037
ec6,8000.0,3.0,1.0,0.0,86400.0,652.0,221.0,268.0,431.0,8048.92,4198.0,48105.0,9.9,18.15,45256.2,2673.0,3.52,144.271,0.636142,84818.9,1.58558,226.511,121.498,867.844,20.5512,366.985
m8,8000.0,3.0,1.0,0.0,86400.0,658.0,254.0,301.0,404.0,4668.84,4825.0,48106.9,12.2164,27.225,45241.1,2673.0,7.04,146.287,0.636622,84883.0,1.49972,214.246,121.498,867.844,22.6527,404.513
m14,8000.0,3.0,1.0,0.0,86400.0,657.0,224.0,275.0,433.0,4117.71,4255.0,48085.9,32.1436,36.3,45193.0,2673.0,8.8,142.68,0.636349,84846.5,1.53514,219.305,121.314,866.525,19.1946,342.761
t5-1,8000.0,3.0,1.0,0.0,86400.0,657.0,194.0,244.0,463.0,8994.03,3685.0,48086.3,32.1932,36.3,45192.9,2673.0,8.8,143.051,0.636217,84828.9,1.66163,237.376,121.314,866.525,19.4401,347.144
t7-1,8000.0,3.0,1.0,0.0,86400.0,656.0,325.0,361.0,331.0,6872.74,6174.0,48095.2,32.2445,36.3,45192.8,2673.0,8.8,152.062,0.635404,84720.5,1.2638,180.543,121.129,865.206,29.034,518.463
t1-2,8000.0,3.0,1.0,0.0,86400.0,656.0,415.0,440.0,241.0,6975.87,7884.0,48107.2,15.6759,27.225,45234.2,2673.0,7.04,150.026,0.636337,84844.9,1.17788,168.269,121.129,865.206,27.0833,483.631
t2-3,8000.0,3.0,1.0,0.0,86400.0,657.0,348.0,380.0,309.0,8279.7,6611.0,48093.5,25.3,27.225,45215.0,2673.0,7.04,145.991,0.636436,84858.2,1.41291,201.845,121.314,866.525,22.6279,404.07
t13-2,8000.0,3.0,1.0,0.0,86400.0,657.0,269.0,313.0,388.0,5776.14,5110.0,48110.3,11.275,18.15,45253.5,2673.0,3.52,150.94,0.636084,84811.2,1.37509,196.441,121.498,867.844,27.4306,489.832
t14-2,8000.0,3.0,1.0,0.0,86400.0,653.0,228.0,278.0,425.0,4204.96,4331.0,48105.0,12.65,18.15,45250.7,2673.0,3.52,147.001,0.635723,84763.1,1.57005,224.293,121.129,865.206,23.6666,422.617
t13-3,8000.0,3.0,1.0,0.0,86400.0,651.0,250.0,293.0,401.0,8458.19,4749.0,48099.4,14.025,18.15,45248.0,2673.0,3.52,142.791,0.636207,84827.6,1.64345,234.778,120.944,863.887,19.5667,349.405
m13,8000.0,3.0,1.0,0.0,86400.0,656.0,205.0,257.0,451.0,5423.45,3894.0,48085.9,32.3286,36.3,45192.6,2673.0,8.8,142.784,0.636287,84838.3,1.72515,246.451,121.129,865.206,19.2933,344.523
ec5,9000.0,2.0,1.0,0.0,86400.0,656.0,222.0,272.0,434.0,5333.22,4217.0,48082.7,35.1354,27.225,45195.3,2673.0,7.04,144.982,0.635929,84790.6,1.59881,228.402,121.129,865.206,21.6182,386.04
m7,9000.0,2.0,1.0,0.0,86400.0,654.0,243.0,288.0,411.0,7601.56,4616.0,48103.7,11.55,9.075,45261.2,2673.0,1.76,147.207,0.636537,84871.6,1.38516,197.879,121.129,865.206,24.056,429.572
t13-4,9000.0,2.0,1.0,0.0,86400.0,658.0,185.0,235.0,473.0,10260.9,3514.0,48095.2,11.55,9.075,45261.2,2673.0,1.76,138.65,0.637507,85001.0,1.81304,259.006,121.683,869.163,14.5163,259.219
