gw_key,distance_threshold,outlier_threshold,remove_intersections,score_threshold,gw_latitude,gw_longitude,gw_altitude
0,500.0,0,0,0.0,41.350833,27.35166700000001,43.0
1,500.0,0,0,0.0,41.202222,27.476667,64.0
2,500.0,0,0,0.0,41.634722,27.653889000000003,276.0
3,500.0,0,0,0.0,41.4,27.966667,141.0
4,500.0,0,0,0.0,40.863889,26.238889000000004,4.0
5,500.0,0,0,0.0,41.497222,27.944444,189.0
6,500.0,0,0,0.0,41.427778,27.1,48.0
7,500.0,0,0,0.0,41.21,27.11805600000001,41.0
8,500.0,0,0,0.0,41.305556,27.608056,78.0
9,500.0,0,0,0.0,41.129721999999994,26.48,8.0
10,500.0,0,0,0.0,41.31,27.7875,103.0
0,500.0,0,1,0.0,41.350833,27.35166700000001,43.0
1,500.0,0,1,0.0,41.202222,27.476667,64.0
2,500.0,0,1,0.0,41.634722,27.653889000000003,276.0
3,500.0,0,1,0.0,41.4,27.966666999999998,141.0
4,500.0,0,1,0.0,40.863889,26.238889000000004,4.0
5,500.0,0,1,0.0,41.497222,27.944444,189.0
6,500.0,0,1,0.0,41.427778,27.1,48.0
7,500.0,0,1,0.0,41.21,27.11805600000001,41.0
8,500.0,0,1,0.0,41.305556,27.608056,78.0
9,500.0,0,1,0.0,41.129722,26.48,8.0
10,500.0,0,1,0.0,41.31,27.7875,103.0
0,1000.0,0,0,0.0,41.350833,27.35166700000001,43.0
1,1000.0,0,0,0.0,41.202222,27.476667,64.0
2,1000.0,0,0,0.0,41.634722,27.653889000000003,276.0
3,1000.0,0,0,0.0,41.4,27.966667,141.0
4,1000.0,0,0,0.0,40.863889,26.238889000000004,4.0
5,1000.0,0,0,0.0,41.497222,27.944444,189.0
6,1000.0,0,0,0.0,41.427778,27.1,48.0
7,1000.0,0,0,0.0,41.21,27.11805600000001,41.0
8,1000.0,0,0,0.0,41.305556,27.608056,78.0
9,1000.0,0,0,0.0,41.129721999999994,26.48,8.0
10,1000.0,0,0,0.0,41.31,27.7875,103.0
0,1000.0,0,1,0.0,41.350833,27.35166700000001,43.0
1,1000.0,0,1,0.0,41.202222,27.476667,64.0
2,1000.0,0,1,0.0,41.634722,27.653889000000003,276.0
3,1000.0,0,1,0.0,41.4,27.966666999999998,141.0
4,1000.0,0,1,0.0,40.863889,26.238889000000004,4.0
5,1000.0,0,1,0.0,41.497222,27.944444,189.0
6,1000.0,0,1,0.0,41.427778,27.1,48.0
7,1000.0,0,1,0.0,41.21,27.11805600000001,41.0
8,1000.0,0,1,0.0,41.305556,27.608056,78.0
9,1000.0,0,1,0.0,41.129722,26.48,8.0
10,1000.0,0,1,0.0,41.31,27.7875,103.0
0,1500.0,0,0,0.0,41.350833,27.35166700000001,43.0
1,1500.0,0,0,0.0,41.202222,27.476667,64.0
2,1500.0,0,0,0.0,41.634722,27.653889000000003,276.0
3,1500.0,0,0,0.0,41.4,27.966667,141.0
4,1500.0,0,0,0.0,40.863889,26.238889000000004,4.0
5,1500.0,0,0,0.0,41.497222,27.944444,189.0
6,1500.0,0,0,0.0,41.427778,27.1,48.0
7,1500.0,0,0,0.0,41.21,27.11805600000001,41.0
8,1500.0,0,0,0.0,41.305556,27.608056,78.0
9,1500.0,0,0,0.0,41.129721999999994,26.48,8.0
10,1500.0,0,0,0.0,41.31,27.7875,103.0
0,1500.0,0,1,0.0,41.350833,27.35166700000001,43.0
1,1500.0,0,1,0.0,41.202222,27.476667,64.0
2,1500.0,0,1,0.0,41.634722,27.653889000000003,276.0
3,1500.0,0,1,0.0,41.4,27.966666999999998,141.0
4,1500.0,0,1,0.0,40.863889,26.238889000000004,4.0
5,1500.0,0,1,0.0,41.497222,27.944444,189.0
6,1500.0,0,1,0.0,41.427778,27.1,48.0
7,1500.0,0,1,0.0,41.21,27.11805600000001,41.0
8,1500.0,0,1,0.0,41.305556,27.608056,78.0
9,1500.0,0,1,0.0,41.129722,26.48,8.0
10,1500.0,0,1,0.0,41.31,27.7875,103.0
0,2000.0,0,0,0.0,41.350833,27.35166700000001,43.0
1,2000.0,0,0,0.0,41.202222,27.476667,64.0
2,2000.0,0,0,0.0,41.634722,27.653889000000003,276.0
3,2000.0,0,0,0.0,41.4,27.966667,141.0
4,2000.0,0,0,0.0,40.863889,26.238889000000004,4.0
5,2000.0,0,0,0.0,41.497222,27.944444,189.0
6,2000.0,0,0,0.0,41.427778,27.1,48.0
7,2000.0,0,0,0.0,41.21,27.11805600000001,41.0
8,2000.0,0,0,0.0,41.305556,27.608056,78.0
9,2000.0,0,0,0.0,41.129721999999994,26.48,8.0
10,2000.0,0,0,0.0,41.31,27.7875,103.0
0,2000.0,0,1,0.0,41.350833,27.35166700000001,43.0
1,2000.0,0,1,0.0,41.202222,27.476667,64.0
2,2000.0,0,1,0.0,41.634722,27.653889000000003,276.0
3,2000.0,0,1,0.0,41.4,27.966666999999998,141.0
4,2000.0,0,1,0.0,40.863889,26.238889000000004,4.0
5,2000.0,0,1,0.0,41.497222,27.944444,189.0
6,2000.0,0,1,0.0,41.427778,27.1,48.0
7,2000.0,0,1,0.0,41.21,27.11805600000001,41.0
8,2000.0,0,1,0.0,41.305556,27.608056,78.0
9,2000.0,0,1,0.0,41.129722,26.48,8.0
10,2000.0,0,1,0.0,41.31,27.7875,103.0
0,2500.0,0,0,0.0,41.350833,27.35166700000001,43.0
1,2500.0,0,0,0.0,41.202222,27.476667,64.0
2,2500.0,0,0,0.0,41.634722,27.653889000000003,276.0
3,2500.0,0,0,0.0,41.4,27.966667,141.0
4,2500.0,0,0,0.0,40.863889,26.238889000000004,4.0
5,2500.0,0,0,0.0,41.497222,27.944444,189.0
6,2500.0,0,0,0.0,41.427778,27.1,48.0
7,2500.0,0,0,0.0,41.21,27.11805600000001,41.0
8,2500.0,0,0,0.0,41.305556,27.608056,78.0
9,2500.0,0,0,0.0,41.129721999999994,26.48,8.0
10,2500.0,0,0,0.0,41.31,27.7875,103.0
0,2500.0,0,1,0.0,41.350833,27.35166700000001,43.0
1,2500.0,0,1,0.0,41.202222,27.476667,64.0
2,2500.0,0,1,0.0,41.634722,27.653889000000003,276.0
3,2500.0,0,1,0.0,41.4,27.966666999999998,141.0
4,2500.0,0,1,0.0,40.863889,26.238889000000004,4.0
5,2500.0,0,1,0.0,41.497222,27.944444,189.0
6,2500.0,0,1,0.0,41.427778,27.1,48.0
7,2500.0,0,1,0.0,41.21,27.11805600000001,41.0
8,2500.0,0,1,0.0,41.305556,27.608056,78.0
9,2500.0,0,1,0.0,41.129722,26.48,8.0
10,2500.0,0,1,0.0,41.31,27.7875,103.0
0,3000.0,0,0,0.0,41.350833,27.35166700000001,43.0
1,3000.0,0,0,0.0,41.202222,27.476667,64.0
2,3000.0,0,0,0.0,41.634722,27.653889000000003,276.0
3,3000.0,0,0,0.0,41.4,27.966667,141.0
4,3000.0,0,0,0.0,40.863889,26.238889000000004,4.0
5,3000.0,0,0,0.0,41.497222,27.944444,189.0
6,3000.0,0,0,0.0,41.427778,27.1,48.0
7,3000.0,0,0,0.0,41.21,27.11805600000001,41.0
8,3000.0,0,0,0.0,41.305556,27.608056,78.0
9,3000.0,0,0,0.0,41.129721999999994,26.48,8.0
10,3000.0,0,0,0.0,41.31,27.7875,103.0
0,3000.0,0,1,0.0,41.350833,27.35166700000001,43.0
1,3000.0,0,1,0.0,41.202222,27.476667,64.0
2,3000.0,0,1,0.0,41.634722,27.653889000000003,276.0
3,3000.0,0,1,0.0,41.4,27.966666999999998,141.0
4,3000.0,0,1,0.0,40.863889,26.238889000000004,4.0
5,3000.0,0,1,0.0,41.497222,27.944444,189.0
6,3000.0,0,1,0.0,41.427778,27.1,48.0
7,3000.0,0,1,0.0,41.21,27.11805600000001,41.0
8,3000.0,0,1,0.0,41.305556,27.608056,78.0
9,3000.0,0,1,0.0,41.129722,26.48,8.0
10,3000.0,0,1,0.0,41.31,27.7875,103.0
0,3500.0,0,0,0.0,41.350833,27.35166700000001,43.0
1,3500.0,0,0,0.0,41.202222,27.476667,64.0
2,3500.0,0,0,0.0,41.634722,27.653889000000003,276.0
3,3500.0,0,0,0.0,41.4,27.966667,141.0
