sensor_key,distance_threshold,outlier_threshold,remove_intersections,score_threshold,Simulation Duration (seconds),Packet Attempts (Retransmission Included),Successful Transmission Count,Transmission Count,Failed Packet Attempts,Time Spent for Successful Transmissions (seconds),Sent Data Size (byte),Total Energy Consumption (J),Hardware Sleep Mode Energy Consumption (J),Hardware Awakening Mode Energy Consumption (J),Hardware Active Mode Energy Consumption (J),Hardware Collection Mode Energy Consumption (J),Hardware Shutdown Mode Energy Consumption (J),Lorawan Module Energy Consumption (J),LoRaWAN_Sleep_Energy (J),LoRaWAN_Sleep_Time (seconds),LoRaWAN_Standby_Energy (J),LoRaWAN_Standby_Time (seconds),LoRaWAN_TX_Energy (J),LoRaWAN_TX_Time (seconds),LoRaWAN_RX_Energy (J),LoRaWAN_RX_Time (seconds)
D01A008,5500.0,0.0,0.0,0.0,86400.0,640.0,639.0,639.0,1.0,2248.34,12140.0,48091.7,35.5224,27.225,45194.5,2673.0,7.04,154.373,0.635906,84787.4,0.0181216,2.5888,118.175,844.104,35.5441,634.716
D01A020,5500.0,0.0,0.0,0.0,86400.0,640.0,639.0,639.0,1.0,2248.34,12140.0,48091.7,35.5224,27.225,45194.5,2673.0,7.04,154.373,0.635906,84787.4,0.0181216,2.5888,118.175,844.104,35.5441,634.716
D01A031,5500.0,0.0,0.0,0.0,86400.0,640.0,638.0,638.0,2.0,2382.6,12121.0,48092.1,35.5224,27.225,45194.5,2673.0,7.04,154.763,0.635851,84780.2,0.0201615,2.88021,118.175,844.104,35.9327,641.655
D01A052,5500.0,0.0,0.0,0.0,86400.0,659.0,532.0,541.0,127.0,9031.65,10107.0,48102.0,23.6031,27.225,45218.3,2673.0,7.04,152.759,0.636153,84820.4,0.631989,90.2842,121.683,869.163,29.8079,532.283
D01A057,5500.0,0.0,0.0,0.0,86400.0,640.0,639.0,639.0,1.0,2248.34,12140.0,48091.7,35.5224,27.225,45194.5,2673.0,7.04,154.373,0.635906,84787.4,0.0181241,2.58916,118.175,844.104,35.5441,634.716
D01A063,5500.0,0.0,0.0,0.0,86400.0,647.0,402.0,430.0,245.0,4332.34,7637.0,48094.6,32.4887,36.3,45192.3,2673.0,8.8,151.695,0.635375,84716.6,1.11788,159.697,119.467,853.336,30.4744,544.186
E01A001,5500.0,0.0,0.0,0.0,86400.0,640.0,639.0,639.0,1.0,2248.34,12140.0,48091.7,35.5224,27.225,45194.5,2673.0,7.04,154.373,0.635906,84787.4,0.0181221,2.58887,118.175,844.104,35.5441,634.716
E01A006,5500.0,0.0,0.0,0.0,86400.0,640.0,639.0,639.0,1.0,2248.34,12140.0,48091.7,35.5224,27.225,45194.5,2673.0,7.04,154.373,0.635906,84787.4,0.0181222,2.58888,118.175,844.104,35.5441,634.716
E01A011,5500.0,0.0,0.0,0.0,86400.0,640.0,639.0,639.0,1.0,2248.34,12140.0,48091.7,35.5224,27.225,45194.5,2673.0,7.04,154.373,0.635906,84787.4,0.0181212,2.58875,118.175,844.104,35.5441,634.716
E01A012,5500.0,0.0,0.0,0.0,86400.0,640.0,639.0,639.0,1.0,2248.34,12140.0,48091.7,35.5224,27.225,45194.5,2673.0,7.04,154.373,0.635906,84787.4,0.0181234,2.58906,118.175,844.104,35.5441,634.716
E01A018,5500.0,0.0,0.0,0.0,86400.0,655.0,493.0,508.0,162.0,7128.93,9366.0,48095.0,27.5164,27.225,45210.5,2673.0,7.04,149.717,0.636403,84853.8,0.622808,88.9726,120.944,863.887,27.5137,491.315
D01A008,3000.0,0.0,0.0,0.0,86400.0,639.0,639.0,639.0,0.0,2117.77,12140.0,48091.4,35.538,27.225,45194.5,2673.0,7.04,154.114,0.635925,84790.0,0.018121,2.58872,117.99,842.785,35.4702,633.397
D01A020,3000.0,0.0,0.0,0.0,86400.0,639.0,639.0,639.0,0.0,2117.77,12140.0,48091.4,35.538,27.225,45194.5,2673.0,7.04,154.114,0.635925,84790.0,0.018121,2.58872,117.99,842.785,35.4702,633.397
D01A031,3000.0,0.0,0.0,0.0,86400.0,639.0,639.0,639.0,0.0,2117.77,12140.0,48091.4,35.538,27.225,45194.5,2673.0,7.04,154.114,0.635925,84790.0,0.018121,2.58872,117.99,842.785,35.4702,633.397
D01A052,3000.0,0.0,0.0,0.0,86400.0,639.0,639.0,639.0,0.0,2117.77,12140.0,48091.4,35.538,27.225,45194.5,2673.0,7.04,154.114,0.635925,84790.0,0.018121,2.58872,117.99,842.785,35.4702,633.397
D01A057,3000.0,0.0,0.0,0.0,86400.0,639.0,639.0,639.0,0.0,2117.77,12140.0,48091.4,35.538,27.225,45194.5,2673.0,7.04,154.114,0.635925,84790.0,0.018121,2.58872,117.99,842.785,35.4702,633.397
D01A063,3000.0,0.0,0.0,0.0,86400.0,639.0,639.0,639.0,0.0,2117.77,12140.0,48091.4,35.538,27.225,45194.5,2673.0,7.04,154.114,0.635925,84790.0,0.018121,2.58872,117.99,842.785,35.4702,633.397
E01A001,3000.0,0.0,0.0,0.0,86400.0,639.0,639.0,639.0,0.0,2117.77,12140.0,48091.4,35.538,27.225,45194.5,2673.0,7.04,154.114,0.635925,84790.0,0.018121,2.58872,117.99,842.785,35.4702,633.397
E01A006,3000.0,0.0,0.0,0.0,86400.0,639.0,639.0,639.0,0.0,2117.77,12140.0,48091.4,35.538,27.225,45194.5,2673.0,7.04,154.114,0.635925,84790.0,0.018121,2.58872,117.99,842.785,35.4702,633.397
E01A011,3000.0,0.0,0.0,0.0,86400.0,639.0,639.0,639.0,0.0,2117.77,12140.0,48091.4,35.538,27.225,45194.5,2673.0,7.04,154.114,0.635925,84790.0,0.018121,2.58872,117.99,842.785,35.4702,633.397
E01A012,3000.0,0.0,0.0,0.0,86400.0,639.0,639.0,639.0,0.0,2117.77,12140.0,48091.4,35.538,27.225,45194.5,2673.0,7.04,154.114,0.635925,84790.0,0.018121,2.58872,117.99,842.785,35.4702,633.397
E01A018,3000.0,0.0,0.0,0.0,86400.0,639.0,639.0,639.0,0.0,2117.77,12140.0,48091.4,35.538,27.225,45194.5,2673.0,7.04,154.114,0.635925,84790.0,0.018121,2.58872,117.99,842.785,35.4702,633.397
D01A008,8500.0,0.0,0.0,0.0,86400.0,641.0,639.0,639.0,2.0,2406.92,12140.0,48093.7,35.2317,27.225,45195.1,2673.0,7.04,156.098,0.635693,84759.0,0.0230566,3.2938,118.359,845.423,37.08,662.143
D01A020,8500.0,0.0,0.0,0.0,86400.0,660.0,491.0,506.0,169.0,8107.34,9328.0,48112.7,12.9903,18.15,45247.8,2673.0,5.28,155.449,0.636288,84838.4,0.604558,86.3654,121.867,870.482,32.3406,577.511
D01A031,8500.0,0.0,0.0,0.0,86400.0,641.0,639.0,639.0,2.0,2408.92,12140.0,48093.1,35.5067,27.225,45194.5,2673.0,7.04,155.781,0.635713,84761.7,0.0390242,5.57488,118.359,845.423,36.747,656.196
D01A052,8500.0,0.0,0.0,0.0,86400.0,646.0,503.0,515.0,143.0,7896.96,9556.0,48106.9,11.55,9.075,45261.2,2673.0,1.76,150.402,0.63679,84905.3,0.714868,102.124,120.575,861.25,28.4757,508.494
D01A057,8500.0,0.0,0.0,0.0,86400.0,639.0,639.0,639.0,0.0,2117.77,12140.0,48091.4,35.538,27.225,45194.5,2673.0,7.04,154.114,0.635925,84790.0,0.018121,2.58872,117.99,842.785,35.4702,633.397
D01A063,8500.0,0.0,0.0,0.0,86400.0,647.0,481.0,499.0,166.0,4766.75,9138.0,48111.4,9.93125,27.225,45245.7,2673.0,7.04,148.493,0.636551,84873.5,1.15307,164.725,119.467,853.336,27.2361,486.359
E01A001,8500.0,0.0,0.0,0.0,86400.0,639.0,639.0,639.0,0.0,2139.77,12140.0,48092.6,35.538,27.225,45194.5,2673.0,7.04,155.336,0.635761,84768.1,0.0187573,2.67962,117.99,842.785,36.6914,655.204
