gw_key,sensor_key,distance_threshold,outlier_threshold,remove_intersections,score_threshold,sensor_latitude,sensor_longitude,sensor_altitude
2,D01A008,500.0,0,0,0.0,41.350833,27.35166700000001,43.0
0,D01A020,500.0,0,0,0.0,41.202222,27.476667,64.0
3,D01A031,500.0,0,0,0.0,41.634722,27.653889000000003,276.0
4,D01A052,500.0,0,0,0.0,41.4,27.966667,141.0
5,D01A057,500.0,0,0,0.0,40.863889,26.238889000000004,4.0
6,D01A063,500.0,0,0,0.0,41.497222,27.944444,189.0
7,E01A001,500.0,0,0,0.0,41.427778,27.1,48.0
8,E01A006,500.0,0,0,0.0,41.21,27.11805600000001,41.0
9,E01A011,500.0,0,0,0.0,41.305556,27.608056,78.0
10,E01A012,500.0,0,0,0.0,41.129721999999994,26.48,8.0
11,E01A018,500.0,0,0,0.0,41.31,27.7875,103.0
12,17634,500.0,0,0,0.0,40.8873,26.908,202.0
13,17632,500.0,0,0,0.0,40.774871999999995,26.345046000000004,32.0
14,17631,500.0,0,0,0.0,41.3513,27.3108,44.0
15,17608,500.0,0,0,0.0,41.2726,26.7056,44.0
16,17056,500.0,0,0,0.0,40.95850000000001,27.496500000000005,4.0
17,17054,500.0,0,0,0.0,41.1798,27.816,142.0
18,17052,500.0,0,0,0.0,41.7382,27.2178,228.0
19,17050,500.0,0,0,0.0,41.6767,26.5508,48.0
0,1048,500.0,0,0,0.0,41.20344200000001,27.469848,70.0
20,943,500.0,0,0,0.0,41.288187,27.994754000000004,162.0
21,934,500.0,0,0,0.0,41.04362499999999,27.093532,73.0
22,766,500.0,0,0,0.0,41.34999400000001,27.703401,99.0
23,643,500.0,0,0,0.0,41.627037,27.511929,182.0
24,648,500.0,0,0,0.0,41.63612,28.092597999999995,15.0
0,D01A020,500.0,1,0,0.0,41.202222,27.476667,64.0
0,1048,500.0,1,0,0.0,41.20344200000001,27.469848,70.0
2,D01A008,500.0,0,1,0.0,41.350833,27.35166700000001,43.0
0,D01A020,500.0,0,1,0.0,41.202222,27.476667,64.0
3,D01A031,500.0,0,1,0.0,41.634722,27.653889000000003,276.0
4,D01A052,500.0,0,1,0.0,41.4,27.966667,141.0
5,D01A057,500.0,0,1,0.0,40.863889,26.238889000000004,4.0
6,D01A063,500.0,0,1,0.0,41.497222,27.944444,189.0
7,E01A001,500.0,0,1,0.0,41.427778,27.1,48.0
8,E01A006,500.0,0,1,0.0,41.21,27.11805600000001,41.0
9,E01A011,500.0,0,1,0.0,41.305556,27.608056,78.0
10,E01A012,500.0,0,1,0.0,41.129721999999994,26.48,8.0
11,E01A018,500.0,0,1,0.0,41.31,27.7875,103.0
12,17634,500.0,0,1,0.0,40.8873,26.908,202.0
13,17632,500.0,0,1,0.0,40.774871999999995,26.345046000000004,32.0
14,17631,500.0,0,1,0.0,41.3513,27.3108,44.0
