Parameters	Latitude	Longitude	Elevation
D01A008	41.0°21.0'2.9988000000012107"	27.0°21.0'6.001199999998789"	43
D01A020	41.0°12.0'7.999199999991106"	27.0°28.0'36.00119999999879"	64
D01A031	41.0°38.0'4.999199999991106"	27.0°39.0'14.000400000004447"	276
D01A052	41.0°24.0'0.0"	27.0°58.0'0.0011999999987892807"	141
D01A057	40.0°51.0'50.000399999989895"	26.0°14.0'20.000400000004447"	4
D01A063	41.0°29.0'49.999199999991106"	27.0°56.0'39.998399999996764"	189
E01A001	41.0°25.0'40.000800000008894"	27.0°6.0'0.0"	48
E01A006	41.0°12.0'36.0"	27.0°7.0'5.001600000003236"	41
E01A011	41.0°18.0'20.00160000001779"	27.0°36.0'29.001600000003236"	78
E01A012	41.0°7.0'46.999199999991106"	26.0°28.0'48.0"	8
E01A018	41.0°18.0'36.0"	27.0°47.0'15.0"	103
17634	40.0°53.0'14.279999999998836"	26.0°54.0'28.80000000000291"	202
17632	40.0°46.0'29.539199999999255"	26.0°20.0'42.16559999999299"	32
17631	41.0°21.0'4.679999999993015"	27.0°18.0'38.88000000000466"	44
17608	41.0°16.0'21.35999999998603"	26.0°42.0'20.160000000003492"	44
17056	40.0°57.0'30.60000000000582"	27.0°29.0'47.40000000000873"	4
17054	41.0°10.0'47.279999999998836"	27.0°48.0'57.59999999999127"	142
17052	41.0°44.0'17.519999999989523"	27.0°13.0'4.080000000001746"	228
17050	41.0°40.0'36.11999999999534"	26.0°33.0'2.8799999999901047"	48
1048	41.0°12.0'12.39120000001276"	27.0°28.0'11.452799999999115"	70
943	41.0°17.0'17.473200000007637"	27.0°59.0'41.114400000005844"	162
934	41.0°2.0'37.04999999998836"	27.0°5.0'36.71520000000601"	73
766	41.0°20.0'59.97840000002179"	27.0°42.0'12.243600000001607"	99
643	41.0°37.0'37.33319999999367"	27.0°30.0'42.94439999999304"	182
648	41.0°38.0'10.03200000000652"	28.0°5.0'33.352799999993294"	15
