sensor_key,distance_threshold,outlier_threshold,remove_intersections,Simulation Duration (seconds),Packet Attempts (Retransmission Included),Successful Transmission Count,Transmission Count,Failed Packet Attempts,Time Spent for Successful Transmissions (seconds),Sent Data Size (byte),Total Energy Consumption (J),Hardware Sleep Mode Energy Consumption (J),Hardware Awakening Mode Energy Consumption (J),Hardware Active Mode Energy Consumption (J),Hardware Collection Mode Energy Consumption (J),Hardware Shutdown Mode Energy Consumption (J),Lorawan Module Energy Consumption (J)
t12-1,8500.0,2.0,0.0,86400.0,658.0,169.0,217.0,489.0,19508.4,3210.0,48102.7,22.3669,27.225,45220.8,2673.0,7.04,152.262
m18,8500.0,2.0,0.0,86400.0,659.0,195.0,240.0,464.0,22516.9,3704.0,48106.0,12.65,9.075,45256.8,2673.0,3.52,151.003
ec8,8500.0,2.0,0.0,86400.0,660.0,188.0,239.0,472.0,19347.9,3571.0,48081.6,35.4613,27.225,45194.6,2673.0,7.04,144.29
t1-2,8500.0,2.0,0.0,86400.0,657.0,164.0,216.0,493.0,19010.0,3115.0,48100.3,9.9,18.15,45256.2,2673.0,3.52,139.516
t2-4,8500.0,2.0,0.0,86400.0,657.0,298.0,330.0,359.0,28582.4,5661.0,48108.6,11.275,18.15,45253.5,2673.0,3.52,149.242
t3-1,8500.0,2.0,0.0,86400.0,657.0,141.0,197.0,516.0,15472.1,2678.0,48111.1,12.65,18.15,45250.7,2673.0,3.52,153.116
t4,8500.0,2.0,0.0,86400.0,655.0,131.0,188.0,524.0,14740.3,2488.0,48102.3,11.55,9.075,45261.2,2673.0,1.76,145.748
t5-2,8500.0,2.0,0.0,86400.0,658.0,114.0,171.0,544.0,16393.6,2165.0,48102.6,9.9,18.15,45256.2,2673.0,3.52,141.87
t7-2,8500.0,2.0,0.0,86400.0,660.0,217.0,257.0,443.0,29003.4,4122.0,48103.2,17.7031,18.15,45238.4,2673.0,5.28,150.711
t8-2,8500.0,2.0,0.0,86400.0,653.0,215.0,261.0,438.0,20209.6,4084.0,48108.0,9.9,18.15,45256.2,2673.0,3.52,147.23
t9,8500.0,2.0,0.0,86400.0,653.0,218.0,261.0,435.0,23717.9,4141.0,48106.9,11.275,18.15,45253.5,2673.0,3.52,147.469
t10,8500.0,2.0,0.0,86400.0,659.0,331.0,361.0,328.0,30200.3,6288.0,48112.5,15.7295,27.225,45234.1,2673.0,7.04,155.377
t11-5,8500.0,2.0,0.0,86400.0,652.0,245.0,287.0,407.0,17503.6,4654.0,48107.4,14.025,18.15,45248.0,2673.0,3.52,150.803
t12-5,8500.0,2.0,0.0,86400.0,653.0,177.0,226.0,476.0,18236.0,3362.0,48097.9,15.4,18.15,45245.2,2673.0,3.52,142.668
t13-2,8500.0,2.0,0.0,86400.0,656.0,251.0,293.0,405.0,20085.9,4768.0,48106.9,11.55,9.075,45261.2,2673.0,1.76,150.33
t13-3,8500.0,2.0,0.0,86400.0,659.0,381.0,397.0,278.0,39976.2,7238.0,48117.3,10.1724,27.225,45245.2,2673.0,7.04,154.666
t13-4,8500.0,2.0,0.0,86400.0,655.0,352.0,377.0,303.0,33405.1,6687.0,48114.1,11.275,18.15,45253.5,2673.0,3.52,154.754
t15,8500.0,2.0,0.0,86400.0,659.0,186.0,233.0,473.0,21913.7,3533.0,48088.9,35.75,27.225,45194.1,2673.0,7.04,151.855
t16,8500.0,2.0,0.0,86400.0,658.0,273.0,307.0,385.0,28032.1,5186.0,48095.1,32.231,36.3,45192.8,2673.0,8.8,151.961
t18,8500.0,2.0,0.0,86400.0,658.0,212.0,261.0,446.0,18512.4,4027.0,48103.0,9.9,18.15,45256.2,2673.0,3.52,142.272
m2,8500.0,2.0,0.0,86400.0,659.0,211.0,256.0,448.0,23270.4,4008.0,48082.3,32.5563,36.3,45192.2,2673.0,8.8,139.491
m3,8500.0,2.0,0.0,86400.0,658.0,206.0,252.0,452.0,20205.7,3913.0,48108.2,15.4,18.15,45245.2,2673.0,3.52,152.979
m4,8500.0,2.0,0.0,86400.0,659.0,276.0,310.0,383.0,28633.9,5243.0,48103.2,21.1571,27.225,45223.2,2673.0,7.04,151.536
m5,8500.0,2.0,0.0,86400.0,658.0,301.0,332.0,357.0,28888.5,5718.0,48108.0,18.15,18.15,45239.7,2673.0,3.52,155.491
m6,8500.0,2.0,0.0,86400.0,659.0,185.0,239.0,474.0,15208.9,3514.0,48094.8,19.3209,27.225,45226.9,2673.0,7.04,141.279
m8,8500.0,2.0,0.0,86400.0,654.0,264.0,302.0,390.0,23971.6,5015.0,48111.0,12.65,18.15,45250.7,2673.0,3.52,152.991
m11,8500.0,2.0,0.0,86400.0,658.0,229.0,275.0,429.0,18086.4,4350.0,48098.5,28.0962,36.3,45201.1,2673.0,8.8,151.226
m12,8500.0,2.0,0.0,86400.0,659.0,314.0,346.0,345.0,27220.3,5965.0,48110.0,18.2056,27.225,45229.1,2673.0,7.04,155.378
m13,8500.0,2.0,0.0,86400.0,656.0,362.0,387.0,294.0,30125.1,6877.0,48112.0,12.65,18.15,45250.7,2673.0,3.52,153.999
m15,8500.0,2.0,0.0,86400.0,659.0,400.0,421.0,259.0,33685.3,7599.0,48116.1,14.4176,27.225,45236.7,2673.0,7.04,157.7
m16,8500.0,2.0,0.0,86400.0,658.0,441.0,458.0,217.0,34609.8,8378.0,48105.8,24.3393,36.3,45208.6,2673.0,8.8,154.717
