Parameters	Latitude	Longitude	Elevation
A	61°29'28.4847	23°45'29.6385"	0
B	61°29'15.3604	23°43'28.1178"	0
C	61°29'15.3604	23°43'28.1178"	0
D	61°29'15.3604	23°43'28.1178"	0
E	61°28'25.1146	23°35'49.2965"	0
F	61°26'32.5987	23°29'07.8846"	0
G	61°28'12.9561	23°31'29.4147"	0
H	61°27'47.7995	23°26'15.4991"	0
R	61°28'35.9033	23°19'56.0489"	0
S	61°24'10.7528	23°04'23.5967"	0
K	61°20'58.9319	22°58'01.7446"	0
L	61°19'43.7466	22°50'50.5300"	0
M	61°15'59.1286	22°41'48.4816"	0
N	61°12'47.5060	22°40'40.0362"	0
O	61°11'51.8965	22°38'54.4169"	0
P	61°16'24.8017	22°21'19.4981"	0
