sensor_key,distance_threshold,outlier_threshold,remove_intersections,Simulation Duration (seconds),Packet Attempts (Retransmission Included),Successful Transmission Count,Transmission Count,Failed Packet Attempts,Time Spent for Successful Transmissions (seconds),Sent Data Size (byte),Total Energy Consumption (J),Hardware Sleep Mode Energy Consumption (J),Hardware Awakening Mode Energy Consumption (J),Hardware Active Mode Energy Consumption (J),Hardware Collection Mode Energy Consumption (J),Hardware Shutdown Mode Energy Consumption (J),Lorawan Module Energy Consumption (J)
A,9500.0,1.0,0.0,86400.0,658.0,150.0,209.0,508.0,9125.38,2849.0,48095.9,12.8824,18.15,45248.0,2673.0,5.28,138.602
B,9500.0,1.0,0.0,86400.0,658.0,183.0,238.0,475.0,10719.2,3476.0,48087.4,22.55,27.225,45220.5,2673.0,7.04,137.092
C,9500.0,1.0,0.0,86400.0,657.0,205.0,258.0,452.0,10719.9,3894.0,48083.9,32.1071,36.3,45193.1,2673.0,8.8,140.607
D,9500.0,1.0,0.0,86400.0,650.0,265.0,309.0,385.0,13109.1,5034.0,48097.7,12.65,18.15,45250.7,2673.0,3.52,139.673
E,9500.0,1.0,0.0,86400.0,653.0,513.0,522.0,140.0,27383.9,9746.0,48098.0,26.675,27.225,45212.2,2673.0,7.04,151.832
F,9500.0,1.0,0.0,86400.0,650.0,238.0,285.0,412.0,10728.9,4521.0,48096.8,15.4,18.15,45245.2,2673.0,3.52,141.517
G,9500.0,1.0,0.0,86400.0,656.0,392.0,417.0,264.0,24836.1,7447.0,48100.2,18.3648,27.225,45228.8,2673.0,7.04,145.797
H,9500.0,1.0,0.0,86400.0,654.0,295.0,336.0,359.0,11612.4,5604.0,48086.4,32.183,36.3,45192.9,2673.0,8.8,143.232
S,9500.0,1.0,0.0,86400.0,654.0,287.0,321.0,367.0,18430.9,5452.0,48085.4,35.411,27.225,45194.7,2673.0,7.04,147.982
K,9500.0,1.0,0.0,86400.0,650.0,387.0,415.0,263.0,17496.9,7352.0,48115.0,9.9,18.15,45256.2,2673.0,3.52,154.277
L,9500.0,1.0,0.0,86400.0,657.0,280.0,316.0,377.0,22686.1,5319.0,48114.3,11.55,9.075,45261.2,2673.0,1.76,157.737
M,9500.0,1.0,0.0,86400.0,655.0,381.0,406.0,274.0,24131.3,7238.0,48095.7,32.1924,36.3,45192.9,2673.0,8.8,152.499
N,9500.0,1.0,0.0,86400.0,653.0,273.0,314.0,380.0,15181.2,5186.0,48105.1,11.275,18.15,45253.5,2673.0,3.52,145.665
O,9500.0,1.0,0.0,86400.0,652.0,249.0,296.0,403.0,9527.93,4730.0,48103.1,12.65,18.15,45250.7,2673.0,3.52,145.077
A,8000.0,2.0,0.0,86400.0,651.0,143.0,197.0,508.0,12452.3,2716.0,48099.2,11.55,9.075,45261.2,2673.0,1.76,142.657
B,8000.0,2.0,0.0,86400.0,656.0,175.0,231.0,481.0,8684.5,3324.0,48078.8,32.2379,36.3,45192.8,2673.0,8.8,135.669
C,8000.0,2.0,0.0,86400.0,652.0,155.0,215.0,497.0,5022.52,2944.0,48094.3,11.275,18.15,45253.5,2673.0,3.52,134.918
D,8000.0,2.0,0.0,86400.0,657.0,158.0,216.0,499.0,8723.0,3001.0,48078.3,32.0921,36.3,45193.1,2673.0,8.8,134.964
