gw_key,sensor_key,distance_threshold,outlier_threshold,remove_intersections,score_threshold,sensor_latitude,sensor_longitude,sensor_altitude
0,t1-2,500.0,0,0,0.001,41.26191666666666,27.548111111111112,83.0
1,t3-1,500.0,0,0,0.001,41.34280555555557,27.456888888888887,57.0
2,t4,500.0,0,0,0.001,41.35752777777777,27.38741666666667,41.0
3,t6,500.0,0,0,0.001,41.34030555555556,27.26763888888889,44.0
4,t7-2,500.0,0,0,0.001,41.36988888888889,27.176,42.0
5,t9,500.0,0,0,0.001,41.36775,27.14011111111111,42.0
6,t12-5,500.0,0,0,0.001,41.36469444444445,27.061805555555555,38.0
7,m2,500.0,0,0,0.001,41.19519444444444,27.46575,70.0
8,m4,500.0,0,0,0.001,41.25444444444445,27.45308333333333,56.0
9,m12,500.0,0,0,0.001,41.34236111111111,27.038888888888888,32.0
10,m16,500.0,0,0,0.001,41.246833333333335,26.6185,18.0
11,t13-1,500.0,0,0,0.001,41.785916666666665,27.129277777777766,244.0
12,t8-1,500.0,0,0,0.001,41.060138888888886,27.338777777777768,111.0
13,t12-3,500.0,0,0,0.001,41.683166666666665,27.19808333333333,166.0
14,cc8,500.0,0,0,0.001,41.17138888888889,27.794888888888888,120.0
15,cc7,500.0,0,0,0.001,41.18147222222222,27.813305555555555,136.0
16,cc6,500.0,0,0,0.001,41.20744444444445,27.86411111111111,150.0
17,cc2,500.0,0,0,0.001,41.293416666666666,27.944222222222226,154.0
18,cc3,500.0,0,0,0.001,41.23858333333333,27.869722222222233,130.0
19,ec5,500.0,0,0,0.001,41.22958333333335,27.64325,83.0
20,ec6,500.0,0,0,0.001,41.264194444444435,27.639055555555554,107.0
21,ec7,500.0,0,0,0.001,41.21675000000001,27.52633333333333,76.0
22,t1-1,500.0,0,0,0.001,41.27711111111111,27.582555555555555,101.0
23,t2-2,500.0,0,0,0.001,41.29263888888889,27.50344444444445,55.0
24,ec4,500.0,0,0,0.001,41.242194444444436,27.684361111111112,91.0
25,cc1,500.0,0,0,0.001,41.27316666666667,27.96463888888889,142.0
26,t3-2,500.0,0,0,0.001,41.335722222222216,27.47411111111111,69.0
27,t7-1,500.0,0,0,0.001,41.41822222222222,27.219555555555555,53.0
28,ec3,500.0,0,0,0.001,41.256694444444435,27.73566666666667,106.0
29,ec2,500.0,0,0,0.001,41.13002777777777,27.772972222222233,95.0
0,t1-2,500.0,0,0,0.3,41.26191666666666,27.548111111111112,83.0
1,t3-1,500.0,0,0,0.3,41.34280555555557,27.456888888888887,57.0
2,t4,500.0,0,0,0.3,41.35752777777777,27.38741666666667,41.0
3,t7-2,500.0,0,0,0.3,41.36988888888889,27.176,42.0
4,t12-5,500.0,0,0,0.3,41.36469444444445,27.061805555555555,38.0
5,m16,500.0,0,0,0.3,41.246833333333335,26.6185,18.0
6,t13-1,500.0,0,0,0.3,41.785916666666665,27.129277777777766,244.0
7,t8-1,500.0,0,0,0.3,41.060138888888886,27.338777777777768,111.0
8,cc8,500.0,0,0,0.3,41.17138888888889,27.794888888888888,120.0
9,cc7,500.0,0,0,0.3,41.18147222222222,27.813305555555555,136.0
10,cc2,500.0,0,0,0.3,41.293416666666666,27.944222222222226,154.0
11,cc3,500.0,0,0,0.3,41.23858333333333,27.869722222222233,130.0
12,ec5,500.0,0,0,0.3,41.22958333333335,27.64325,83.0
13,ec6,500.0,0,0,0.3,41.264194444444435,27.639055555555554,107.0
14,ec4,500.0,0,0,0.3,41.242194444444436,27.684361111111112,91.0
15,cc1,500.0,0,0,0.3,41.27316666666667,27.96463888888889,142.0
16,t3-2,500.0,0,0,0.3,41.335722222222216,27.47411111111111,69.0
17,t7-1,500.0,0,0,0.3,41.41822222222222,27.219555555555555,53.0
18,ec2,500.0,0,0,0.3,41.13002777777777,27.772972222222233,95.0
0,t1-2,500.0,0,0,0.47,41.26191666666666,27.548111111111112,83.0
1,t3-1,500.0,0,0,0.47,41.34280555555557,27.456888888888887,57.0
2,t4,500.0,0,0,0.47,41.35752777777777,27.38741666666667,41.0
3,t8-1,500.0,0,0,0.47,41.060138888888886,27.338777777777768,111.0
4,cc8,500.0,0,0,0.47,41.17138888888889,27.794888888888888,120.0
5,cc2,500.0,0,0,0.47,41.293416666666666,27.944222222222226,154.0
6,ec5,500.0,0,0,0.47,41.22958333333335,27.64325,83.0
7,ec6,500.0,0,0,0.47,41.264194444444435,27.639055555555554,107.0
8,t3-2,500.0,0,0,0.47,41.335722222222216,27.47411111111111,69.0
9,t7-1,500.0,0,0,0.47,41.41822222222222,27.219555555555555,53.0
0,t1-2,500.0,0,1,0.001,41.26191666666666,27.548111111111112,83.0
1,t3-1,500.0,0,1,0.001,41.34280555555557,27.456888888888887,57.0
2,t4,500.0,0,1,0.001,41.35752777777777,27.38741666666667,41.0
3,t6,500.0,0,1,0.001,41.34030555555556,27.26763888888889,44.0
4,t7-2,500.0,0,1,0.001,41.36988888888889,27.176,42.0
5,t9,500.0,0,1,0.001,41.36775,27.14011111111111,42.0
6,t12-5,500.0,0,1,0.001,41.36469444444445,27.061805555555555,38.0
7,m2,500.0,0,1,0.001,41.19519444444444,27.46575,70.0
8,m4,500.0,0,1,0.001,41.25444444444445,27.45308333333333,56.0
9,m12,500.0,0,1,0.001,41.34236111111111,27.038888888888888,32.0
10,m16,500.0,0,1,0.001,41.246833333333335,26.6185,18.0
11,t13-1,500.0,0,1,0.001,41.785916666666665,27.129277777777766,244.0
12,t8-1,500.0,0,1,0.001,41.060138888888886,27.338777777777768,111.0
13,t12-3,500.0,0,1,0.001,41.683166666666665,27.19808333333333,166.0
14,cc8,500.0,0,1,0.001,41.17138888888889,27.794888888888888,120.0
15,cc7,500.0,0,1,0.001,41.18147222222222,27.813305555555555,136.0
16,cc6,500.0,0,1,0.001,41.20744444444445,27.86411111111111,150.0
17,cc2,500.0,0,1,0.001,41.293416666666666,27.944222222222226,154.0
18,cc3,500.0,0,1,0.001,41.23858333333333,27.869722222222233,130.0
19,ec5,500.0,0,1,0.001,41.22958333333335,27.64325,83.0
20,ec6,500.0,0,1,0.001,41.264194444444435,27.639055555555554,107.0
21,ec7,500.0,0,1,0.001,41.21675000000001,27.52633333333333,76.0
22,t1-1,500.0,0,1,0.001,41.27711111111111,27.582555555555555,101.0
23,t2-2,500.0,0,1,0.001,41.29263888888889,27.50344444444445,55.0
24,ec4,500.0,0,1,0.001,41.242194444444436,27.684361111111112,91.0
25,cc1,500.0,0,1,0.001,41.27316666666667,27.96463888888889,142.0
26,t3-2,500.0,0,1,0.001,41.335722222222216,27.47411111111111,69.0
27,t7-1,500.0,0,1,0.001,41.41822222222222,27.219555555555555,53.0
28,ec3,500.0,0,1,0.001,41.256694444444435,27.73566666666667,106.0
29,ec2,500.0,0,1,0.001,41.13002777777777,27.772972222222233,95.0
0,t1-2,500.0,0,1,0.3,41.26191666666666,27.548111111111112,83.0
1,t3-1,500.0,0,1,0.3,41.34280555555557,27.456888888888887,57.0
2,t4,500.0,0,1,0.3,41.35752777777777,27.38741666666667,41.0
3,t7-2,500.0,0,1,0.3,41.36988888888889,27.176,42.0
4,t12-5,500.0,0,1,0.3,41.36469444444445,27.061805555555555,38.0
5,m16,500.0,0,1,0.3,41.246833333333335,26.6185,18.0
6,t13-1,500.0,0,1,0.3,41.785916666666665,27.129277777777766,244.0
7,t8-1,500.0,0,1,0.3,41.060138888888886,27.338777777777768,111.0
8,cc8,500.0,0,1,0.3,41.17138888888889,27.794888888888888,120.0
9,cc7,500.0,0,1,0.3,41.18147222222222,27.813305555555555,136.0
10,cc2,500.0,0,1,0.3,41.293416666666666,27.944222222222226,154.0
11,cc3,500.0,0,1,0.3,41.23858333333333,27.869722222222233,130.0
12,ec5,500.0,0,1,0.3,41.22958333333335,27.64325,83.0
13,ec6,500.0,0,1,0.3,41.264194444444435,27.639055555555554,107.0
14,ec4,500.0,0,1,0.3,41.242194444444436,27.684361111111112,91.0
15,cc1,500.0,0,1,0.3,41.27316666666667,27.96463888888889,142.0
16,t3-2,500.0,0,1,0.3,41.335722222222216,27.47411111111111,69.0
17,t7-1,500.0,0,1,0.3,41.41822222222222,27.219555555555555,53.0
18,ec2,500.0,0,1,0.3,41.13002777777777,27.772972222222233,95.0
0,t1-2,500.0,0,1,0.47,41.26191666666666,27.548111111111112,83.0
1,t3-1,500.0,0,1,0.47,41.34280555555557,27.456888888888887,57.0
2,t4,500.0,0,1,0.47,41.35752777777777,27.38741666666667,41.0
3,t8-1,500.0,0,1,0.47,41.060138888888886,27.338777777777768,111.0
4,cc8,500.0,0,1,0.47,41.17138888888889,27.794888888888888,120.0
5,cc2,500.0,0,1,0.47,41.293416666666666,27.944222222222226,154.0
6,ec5,500.0,0,1,0.47,41.22958333333335,27.64325,83.0
7,ec6,500.0,0,1,0.47,41.264194444444435,27.639055555555554,107.0
8,t3-2,500.0,0,1,0.47,41.335722222222216,27.47411111111111,69.0
9,t7-1,500.0,0,1,0.47,41.41822222222222,27.219555555555555,53.0
4,t1-2,1000.0,0,0,0.001,41.26191666666666,27.548111111111112,83.0
0,t3-1,1000.0,0,0,0.001,41.34280555555557,27.456888888888887,57.0
5,t4,1000.0,0,0,0.001,41.35752777777777,27.38741666666667,41.0
6,t6,1000.0,0,0,0.001,41.34030555555556,27.26763888888889,44.0
7,t7-2,1000.0,0,0,0.001,41.36988888888889,27.176,42.0
8,t9,1000.0,0,0,0.001,41.36775,27.14011111111111,42.0
9,t12-5,1000.0,0,0,0.001,41.36469444444445,27.061805555555555,38.0
10,m2,1000.0,0,0,0.001,41.19519444444444,27.46575,70.0
11,m4,1000.0,0,0,0.001,41.25444444444445,27.45308333333333,56.0
12,m12,1000.0,0,0,0.001,41.34236111111111,27.038888888888888,32.0
13,m16,1000.0,0,0,0.001,41.246833333333335,26.6185,18.0
14,t13-1,1000.0,0,0,0.001,41.785916666666665,27.129277777777766,244.0
15,t8-1,1000.0,0,0,0.001,41.060138888888886,27.338777777777768,111.0
16,t12-3,1000.0,0,0,0.001,41.683166666666665,27.19808333333333,166.0
2,cc8,1000.0,0,0,0.001,41.17138888888889,27.794888888888888,120.0
2,cc7,1000.0,0,0,0.001,41.18147222222222,27.813305555555555,136.0
17,cc6,1000.0,0,0,0.001,41.20744444444445,27.86411111111111,150.0
18,cc2,1000.0,0,0,0.001,41.293416666666666,27.944222222222226,154.0
19,cc3,1000.0,0,0,0.001,41.23858333333333,27.869722222222233,130.0
20,ec5,1000.0,0,0,0.001,41.22958333333335,27.64325,83.0
21,ec6,1000.0,0,0,0.001,41.264194444444435,27.639055555555554,107.0
22,ec7,1000.0,0,0,0.001,41.21675000000001,27.52633333333333,76.0
23,t1-1,1000.0,0,0,0.001,41.27711111111111,27.582555555555555,101.0
24,t2-2,1000.0,0,0,0.001,41.29263888888889,27.50344444444445,55.0
25,ec4,1000.0,0,0,0.001,41.242194444444436,27.684361111111112,91.0
26,cc1,1000.0,0,0,0.001,41.27316666666667,27.96463888888889,142.0
0,t3-2,1000.0,0,0,0.001,41.335722222222216,27.47411111111111,69.0
27,t7-1,1000.0,0,0,0.001,41.41822222222222,27.219555555555555,53.0
28,ec3,1000.0,0,0,0.001,41.256694444444435,27.73566666666667,106.0
29,ec2,1000.0,0,0,0.001,41.13002777777777,27.772972222222233,95.0
4,t1-2,1000.0,0,0,0.3,41.26191666666666,27.548111111111112,83.0
0,t3-1,1000.0,0,0,0.3,41.34280555555557,27.456888888888887,57.0
5,t4,1000.0,0,0,0.3,41.35752777777777,27.38741666666667,41.0
6,t7-2,1000.0,0,0,0.3,41.36988888888889,27.176,42.0
7,t12-5,1000.0,0,0,0.3,41.36469444444445,27.061805555555555,38.0
8,m16,1000.0,0,0,0.3,41.246833333333335,26.6185,18.0
9,t13-1,1000.0,0,0,0.3,41.785916666666665,27.129277777777766,244.0
10,t8-1,1000.0,0,0,0.3,41.060138888888886,27.338777777777768,111.0
2,cc8,1000.0,0,0,0.3,41.17138888888889,27.794888888888888,120.0
2,cc7,1000.0,0,0,0.3,41.18147222222222,27.813305555555555,136.0
11,cc2,1000.0,0,0,0.3,41.293416666666666,27.944222222222226,154.0
12,cc3,1000.0,0,0,0.3,41.23858333333333,27.869722222222233,130.0
13,ec5,1000.0,0,0,0.3,41.22958333333335,27.64325,83.0
14,ec6,1000.0,0,0,0.3,41.264194444444435,27.639055555555554,107.0
15,ec4,1000.0,0,0,0.3,41.242194444444436,27.684361111111112,91.0
16,cc1,1000.0,0,0,0.3,41.27316666666667,27.96463888888889,142.0
0,t3-2,1000.0,0,0,0.3,41.335722222222216,27.47411111111111,69.0
17,t7-1,1000.0,0,0,0.3,41.41822222222222,27.219555555555555,53.0
18,ec2,1000.0,0,0,0.3,41.13002777777777,27.772972222222233,95.0
2,t1-2,1000.0,0,0,0.47,41.26191666666666,27.548111111111112,83.0
0,t3-1,1000.0,0,0,0.47,41.34280555555557,27.456888888888887,57.0
3,t4,1000.0,0,0,0.47,41.35752777777777,27.38741666666667,41.0
4,t8-1,1000.0,0,0,0.47,41.060138888888886,27.338777777777768,111.0
5,cc8,1000.0,0,0,0.47,41.17138888888889,27.794888888888888,120.0
6,cc2,1000.0,0,0,0.47,41.293416666666666,27.944222222222226,154.0
7,ec5,1000.0,0,0,0.47,41.22958333333335,27.64325,83.0
8,ec6,1000.0,0,0,0.47,41.264194444444435,27.639055555555554,107.0
0,t3-2,1000.0,0,0,0.47,41.335722222222216,27.47411111111111,69.0
9,t7-1,1000.0,0,0,0.47,41.41822222222222,27.219555555555555,53.0
0,t3-1,1000.0,1,0,0.001,41.34280555555557,27.456888888888887,57.0
2,cc8,1000.0,1,0,0.001,41.17138888888889,27.794888888888888,120.0
2,cc7,1000.0,1,0,0.001,41.18147222222222,27.813305555555555,136.0
0,t3-2,1000.0,1,0,0.001,41.335722222222216,27.47411111111111,69.0
0,t3-1,1000.0,1,0,0.3,41.34280555555557,27.456888888888887,57.0
2,cc8,1000.0,1,0,0.3,41.17138888888889,27.794888888888888,120.0
2,cc7,1000.0,1,0,0.3,41.18147222222222,27.813305555555555,136.0
0,t3-2,1000.0,1,0,0.3,41.335722222222216,27.47411111111111,69.0
0,t3-1,1000.0,1,0,0.47,41.34280555555557,27.456888888888887,57.0
0,t3-2,1000.0,1,0,0.47,41.335722222222216,27.47411111111111,69.0
4,t1-2,1000.0,0,1,0.001,41.26191666666666,27.548111111111112,83.0
0,t3-1,1000.0,0,1,0.001,41.34280555555557,27.456888888888887,57.0
5,t4,1000.0,0,1,0.001,41.35752777777777,27.38741666666667,41.0
6,t6,1000.0,0,1,0.001,41.34030555555556,27.26763888888889,44.0
7,t7-2,1000.0,0,1,0.001,41.36988888888889,27.176,42.0
8,t9,1000.0,0,1,0.001,41.36775,27.14011111111111,42.0
9,t12-5,1000.0,0,1,0.001,41.36469444444445,27.061805555555555,38.0
10,m2,1000.0,0,1,0.001,41.19519444444444,27.46575,70.0
11,m4,1000.0,0,1,0.001,41.25444444444445,27.45308333333333,56.0
12,m12,1000.0,0,1,0.001,41.34236111111111,27.038888888888888,32.0
13,m16,1000.0,0,1,0.001,41.246833333333335,26.6185,18.0
14,t13-1,1000.0,0,1,0.001,41.785916666666665,27.129277777777766,244.0
15,t8-1,1000.0,0,1,0.001,41.060138888888886,27.338777777777768,111.0
16,t12-3,1000.0,0,1,0.001,41.683166666666665,27.19808333333333,166.0
2,cc8,1000.0,0,1,0.001,41.17138888888889,27.794888888888888,120.0
2,cc7,1000.0,0,1,0.001,41.18147222222222,27.813305555555555,136.0
17,cc6,1000.0,0,1,0.001,41.20744444444445,27.86411111111111,150.0
18,cc2,1000.0,0,1,0.001,41.293416666666666,27.944222222222226,154.0
19,cc3,1000.0,0,1,0.001,41.23858333333333,27.869722222222233,130.0
20,ec5,1000.0,0,1,0.001,41.22958333333335,27.64325,83.0
21,ec6,1000.0,0,1,0.001,41.264194444444435,27.639055555555554,107.0
22,ec7,1000.0,0,1,0.001,41.21675000000001,27.52633333333333,76.0
23,t1-1,1000.0,0,1,0.001,41.27711111111111,27.582555555555555,101.0
24,t2-2,1000.0,0,1,0.001,41.29263888888889,27.50344444444445,55.0
25,ec4,1000.0,0,1,0.001,41.242194444444436,27.684361111111112,91.0
26,cc1,1000.0,0,1,0.001,41.27316666666667,27.96463888888889,142.0
0,t3-2,1000.0,0,1,0.001,41.335722222222216,27.47411111111111,69.0
27,t7-1,1000.0,0,1,0.001,41.41822222222222,27.219555555555555,53.0
28,ec3,1000.0,0,1,0.001,41.256694444444435,27.73566666666667,106.0
29,ec2,1000.0,0,1,0.001,41.13002777777777,27.772972222222233,95.0
4,t1-2,1000.0,0,1,0.3,41.26191666666666,27.548111111111112,83.0
0,t3-1,1000.0,0,1,0.3,41.34280555555557,27.456888888888887,57.0
5,t4,1000.0,0,1,0.3,41.35752777777777,27.38741666666667,41.0
6,t7-2,1000.0,0,1,0.3,41.36988888888889,27.176,42.0
7,t12-5,1000.0,0,1,0.3,41.36469444444445,27.061805555555555,38.0
8,m16,1000.0,0,1,0.3,41.246833333333335,26.6185,18.0
9,t13-1,1000.0,0,1,0.3,41.785916666666665,27.129277777777766,244.0
10,t8-1,1000.0,0,1,0.3,41.060138888888886,27.338777777777768,111.0
2,cc8,1000.0,0,1,0.3,41.17138888888889,27.794888888888888,120.0
2,cc7,1000.0,0,1,0.3,41.18147222222222,27.813305555555555,136.0
11,cc2,1000.0,0,1,0.3,41.293416666666666,27.944222222222226,154.0
12,cc3,1000.0,0,1,0.3,41.23858333333333,27.869722222222233,130.0
13,ec5,1000.0,0,1,0.3,41.22958333333335,27.64325,83.0
14,ec6,1000.0,0,1,0.3,41.264194444444435,27.639055555555554,107.0
15,ec4,1000.0,0,1,0.3,41.242194444444436,27.684361111111112,91.0
16,cc1,1000.0,0,1,0.3,41.27316666666667,27.96463888888889,142.0
0,t3-2,1000.0,0,1,0.3,41.335722222222216,27.47411111111111,69.0
17,t7-1,1000.0,0,1,0.3,41.41822222222222,27.219555555555555,53.0
18,ec2,1000.0,0,1,0.3,41.13002777777777,27.772972222222233,95.0
