sensor_key,distance_threshold,outlier_threshold,remove_intersections,score_threshold,Simulation Duration (seconds),Packet Attempts (Retransmission Included),Successful Transmission Count,Transmission Count,Failed Packet Attempts,Time Spent for Successful Transmissions (seconds),Sent Data Size (byte),Total Energy Consumption (J),Hardware Sleep Mode Energy Consumption (J),Hardware Awakening Mode Energy Consumption (J),Hardware Active Mode Energy Consumption (J),Hardware Collection Mode Energy Consumption (J),Hardware Shutdown Mode Energy Consumption (J),Lorawan Module Energy Consumption (J)
t1-2,7000.0,0.0,0.0,0.47,86400.0,660.0,591.0,594.0,69.0,43394.0,11228.0,48110.9,18.3893,18.15,45237.0,2673.0,5.28,159.05
t3-1,7000.0,0.0,0.0,0.47,86400.0,656.0,339.0,374.0,317.0,19349.3,6440.0,48085.3,35.1687,27.225,45195.2,2673.0,7.04,147.675
t4,7000.0,0.0,0.0,0.47,86400.0,646.0,560.0,568.0,86.0,11904.6,10639.0,48105.3,19.5727,27.225,45226.4,2673.0,7.04,152.081
t8-1,7000.0,0.0,0.0,0.47,86400.0,639.0,639.0,639.0,0.0,1819.63,12140.0,48092.6,35.538,27.225,45194.5,2673.0,7.04,155.28
cc8,7000.0,0.0,0.0,0.47,86400.0,640.0,639.0,639.0,1.0,3910.97,12140.0,48093.7,35.2474,27.225,45195.1,2673.0,7.04,156.107
cc2,7000.0,0.0,0.0,0.47,86400.0,640.0,639.0,639.0,1.0,3791.96,12140.0,48091.7,35.5224,27.225,45194.5,2673.0,7.04,154.423
ec5,7000.0,0.0,0.0,0.47,86400.0,653.0,427.0,450.0,226.0,19132.0,8112.0,48103.2,15.3382,18.15,45243.1,2673.0,5.28,148.311
ec6,7000.0,0.0,0.0,0.47,86400.0,648.0,478.0,498.0,170.0,9917.87,9081.0,48093.4,32.2571,36.3,45192.8,2673.0,8.8,150.294
t3-2,7000.0,0.0,0.0,0.47,86400.0,654.0,396.0,425.0,258.0,17017.2,7523.0,48097.0,22.55,27.225,45220.5,2673.0,7.04,146.708
t7-1,7000.0,0.0,0.0,0.47,86400.0,639.0,639.0,639.0,0.0,1798.63,12140.0,48091.4,35.538,27.225,45194.5,2673.0,7.04,154.114
t1-2,6500.0,0.0,1.0,0.3,86400.0,655.0,339.0,372.0,316.0,28267.9,6440.0,48110.1,11.55,9.075,45261.2,2673.0,1.76,153.609
t4,6500.0,0.0,1.0,0.3,86400.0,646.0,628.0,629.0,18.0,16120.0,11931.0,48096.0,35.5211,27.225,45194.5,2673.0,7.04,158.737
t12-5,6500.0,0.0,1.0,0.3,86400.0,653.0,616.0,618.0,37.0,29043.6,11703.0,48094.4,35.4496,27.225,45194.7,2673.0,7.04,157.058
m16,6500.0,0.0,1.0,0.3,86400.0,640.0,639.0,639.0,1.0,3796.19,12140.0,48091.7,35.5224,27.225,45194.5,2673.0,7.04,154.373
t13-1,6500.0,0.0,1.0,0.3,86400.0,640.0,639.0,639.0,1.0,3796.19,12140.0,48091.7,35.5224,27.225,45194.5,2673.0,7.04,154.373
t8-1,6500.0,0.0,1.0,0.3,86400.0,640.0,639.0,639.0,1.0,3818.19,12140.0,48092.9,35.5224,27.225,45194.5,2673.0,7.04,155.594
cc7,6500.0,0.0,1.0,0.3,86400.0,654.0,501.0,513.0,153.0,27548.7,9518.0,48090.8,35.5287,27.225,45194.5,2673.0,7.04,153.507
cc2,6500.0,0.0,1.0,0.3,86400.0,651.0,415.0,438.0,236.0,26693.2,7884.0,48109.3,11.55,9.075,45261.2,2673.0,1.76,152.769
cc3,6500.0,0.0,1.0,0.3,86400.0,652.0,604.0,606.0,48.0,25989.6,11475.0,48110.8,12.65,9.075,45256.8,2673.0,3.52,155.827
ec5,6500.0,0.0,1.0,0.3,86400.0,651.0,442.0,463.0,209.0,23793.8,8397.0,48118.4,9.9,18.15,45256.2,2673.0,3.52,157.596
