sensor_key,distance_threshold,outlier_threshold,remove_intersections,score_threshold,Simulation Duration (seconds),Packet Attempts (Retransmission Included),Successful Transmission Count,Transmission Count,Failed Packet Attempts,Time Spent for Successful Transmissions (seconds),Sent Data Size (byte),Total Energy Consumption (J),Hardware Sleep Mode Energy Consumption (J),Hardware Awakening Mode Energy Consumption (J),Hardware Active Mode Energy Consumption (J),Hardware Collection Mode Energy Consumption (J),Hardware Shutdown Mode Energy Consumption (J),Lorawan Module Energy Consumption (J),LoRaWAN_Sleep_Energy (J),LoRaWAN_Sleep_Time (seconds),LoRaWAN_Standby_Energy (J),LoRaWAN_Standby_Time (seconds),LoRaWAN_TX_Energy (J),LoRaWAN_TX_Time (seconds),LoRaWAN_RX_Energy (J),LoRaWAN_RX_Time (seconds)
t1-2,7000.0,0.0,0.0,0.3,86400.0,655.0,232.0,281.0,423.0,4876.65,4407.0,48110.5,11.55,9.075,45261.2,2673.0,1.76,154.002,0.636225,84830.0,1.05373,150.533,122.052,871.801,30.2602,540.361
t3-1,7000.0,0.0,0.0,0.3,86400.0,656.0,371.0,398.0,285.0,10358.1,7048.0,48091.3,35.5781,27.225,45194.4,2673.0,7.04,154.016,0.635385,84718.0,0.876086,125.155,121.129,865.206,31.3754,560.275
t4,7000.0,0.0,0.0,0.3,86400.0,650.0,517.0,528.0,133.0,7751.2,9822.0,48089.1,35.6318,27.225,45194.3,2673.0,7.04,151.932,0.635711,84761.5,0.72907,104.153,120.021,857.293,30.546,545.464
t7-2,7000.0,0.0,0.0,0.3,86400.0,659.0,562.0,569.0,97.0,7309.06,10677.0,48114.0,11.55,9.075,45261.2,2673.0,1.76,157.468,0.635461,84728.2,0.419955,59.9936,121.867,870.482,34.5449,616.874
t12-5,7000.0,0.0,0.0,0.3,86400.0,646.0,392.0,421.0,254.0,4343.77,7447.0,48110.3,9.9,18.15,45256.2,2673.0,3.52,149.499,0.635852,84780.3,1.03414,147.735,120.575,861.25,27.254,486.679
m16,7000.0,0.0,0.0,0.3,86400.0,639.0,639.0,639.0,0.0,2117.77,12140.0,48091.4,35.538,27.225,45194.5,2673.0,7.04,154.114,0.635925,84790.0,0.018121,2.58872,117.99,842.785,35.4702,633.397
t13-1,7000.0,0.0,0.0,0.3,86400.0,639.0,639.0,639.0,0.0,2117.77,12140.0,48091.4,35.538,27.225,45194.5,2673.0,7.04,154.114,0.635925,84790.0,0.018121,2.58872,117.99,842.785,35.4702,633.397
t8-1,7000.0,0.0,0.0,0.3,86400.0,639.0,639.0,639.0,0.0,2139.77,12140.0,48092.6,35.538,27.225,45194.5,2673.0,7.04,155.336,0.635761,84768.1,0.0187777,2.68253,117.99,842.785,36.6914,655.204
cc8,7000.0,0.0,0.0,0.3,86400.0,656.0,0.0,82.0,656.0,0.0,0.0,48086.7,11.55,9.075,45261.2,2673.0,1.76,130.214,0.637712,85028.3,2.27088,324.411,121.867,870.482,5.43759,97.0998
cc7,7000.0,0.0,0.0,0.3,86400.0,656.0,0.0,82.0,656.0,0.0,0.0,48086.7,11.55,9.075,45261.2,2673.0,1.76,130.214,0.637712,85028.3,2.27088,324.412,121.867,870.482,5.43759,97.0998
