gw_key,distance_threshold,outlier_threshold,remove_intersections,score_threshold,gw_latitude,gw_longitude,gw_altitude
0,500.0,0,0,0.001,41.23858333333333,27.869722222222222,130.0
1,500.0,0,0,0.001,41.090138888888895,27.46905555555556,118.0
2,500.0,0,0,0.001,41.36344444444445,27.32677777777777,43.0
3,500.0,0,0,0.001,41.275194444444445,26.681833333333334,12.0
4,500.0,0,0,0.001,41.34663888888889,27.831527777777776,111.0
5,500.0,0,0,0.001,41.203138888888894,27.47697222222222,68.0
6,500.0,0,0,0.001,41.352,27.35163888888889,48.0
7,500.0,0,0,0.001,41.34791666666667,27.28786111111112,45.0
8,500.0,0,0,0.001,41.30561111111111,27.52175,69.0
9,500.0,0,0,0.001,41.41822222222222,27.219555555555555,53.0
10,500.0,0,0,0.001,41.26191666666666,27.548111111111112,83.0
11,500.0,0,0,0.001,41.250638888888886,26.644944444444445,12.0
12,500.0,0,0,0.001,41.29263888888889,27.503444444444444,55.0
13,500.0,0,0,0.001,41.171388888888885,27.79488888888889,120.0
14,500.0,0,0,0.001,40.94847222222222,26.931,102.0
15,500.0,0,0,0.001,41.36988888888889,27.176,42.0
16,500.0,0,0,0.001,41.08586111111112,26.54727777777778,21.0
17,500.0,0,0,0.001,41.336083333333335,26.922472222222225,28.0
18,500.0,0,0,0.001,41.683166666666665,27.198083333333333,166.0
19,500.0,0,0,0.001,41.142472222222224,27.599138888888888,89.0
20,500.0,0,0,0.001,41.20744444444445,27.86411111111111,150.0
21,500.0,0,0,0.001,41.35047222222222,27.10927777777778,41.0
22,500.0,0,0,0.001,41.060138888888886,27.33877777777777,111.0
23,500.0,0,0,0.001,41.364694444444446,27.061805555555555,38.0
24,500.0,0,0,0.001,41.30858333333333,26.78977777777778,18.0
25,500.0,0,0,0.001,41.27711111111111,27.582555555555555,101.0
26,500.0,0,0,0.001,41.216750000000005,27.526333333333334,76.0
27,500.0,0,0,0.001,41.45438888888889,27.04538888888889,63.0
28,500.0,0,0,0.001,41.34280555555556,27.456888888888887,57.0
29,500.0,0,0,0.001,41.38247222222222,26.91186111111111,34.0
0,500.0,0,1,0.001,41.23858333333333,27.869722222222222,130.0
1,500.0,0,1,0.001,41.090138888888895,27.46905555555556,118.0
2,500.0,0,1,0.001,41.36344444444445,27.32677777777777,43.0
3,500.0,0,1,0.001,41.275194444444445,26.681833333333334,12.0
4,500.0,0,1,0.001,41.34663888888889,27.831527777777776,111.0
5,500.0,0,1,0.001,41.203138888888894,27.47697222222222,68.0
6,500.0,0,1,0.001,41.352,27.35163888888889,48.0
7,500.0,0,1,0.001,41.34791666666667,27.28786111111112,45.0
8,500.0,0,1,0.001,41.30561111111111,27.52175,69.0
9,500.0,0,1,0.001,41.41822222222222,27.219555555555555,53.0
10,500.0,0,1,0.001,41.26191666666666,27.548111111111112,83.0
11,500.0,0,1,0.001,41.250638888888886,26.644944444444445,12.0
12,500.0,0,1,0.001,41.29263888888889,27.503444444444444,55.0
13,500.0,0,1,0.001,41.171388888888885,27.79488888888889,120.0
14,500.0,0,1,0.001,40.94847222222222,26.931,102.0
15,500.0,0,1,0.001,41.36988888888889,27.176,42.0
16,500.0,0,1,0.001,41.08586111111112,26.54727777777778,21.0
17,500.0,0,1,0.001,41.336083333333335,26.922472222222225,28.0
18,500.0,0,1,0.001,41.683166666666665,27.198083333333333,166.0
19,500.0,0,1,0.001,41.142472222222224,27.599138888888888,89.0
20,500.0,0,1,0.001,41.20744444444445,27.86411111111111,150.0
21,500.0,0,1,0.001,41.35047222222222,27.10927777777778,41.0
22,500.0,0,1,0.001,41.060138888888886,27.33877777777777,111.0
23,500.0,0,1,0.001,41.364694444444446,27.061805555555555,38.0
24,500.0,0,1,0.001,41.30858333333333,26.78977777777778,18.0
25,500.0,0,1,0.001,41.27711111111111,27.582555555555555,101.0
26,500.0,0,1,0.001,41.216750000000005,27.526333333333334,76.0
27,500.0,0,1,0.001,41.45438888888889,27.04538888888889,63.0
28,500.0,0,1,0.001,41.34280555555556,27.456888888888887,57.0
29,500.0,0,1,0.001,41.38247222222222,26.91186111111111,34.0
0,1000.0,0,0,0.001,41.23858333333333,27.869722222222222,130.0
1,1000.0,0,0,0.001,41.090138888888895,27.46905555555556,118.0
2,1000.0,0,0,0.001,41.36344444444445,27.32677777777777,43.0
3,1000.0,0,0,0.001,41.275194444444445,26.681833333333334,12.0
4,1000.0,0,0,0.001,41.34663888888889,27.831527777777776,111.0
5,1000.0,0,0,0.001,41.203138888888894,27.47697222222222,68.0
6,1000.0,0,0,0.001,41.352,27.35163888888889,48.0
7,1000.0,0,0,0.001,41.34791666666667,27.28786111111112,45.0
8,1000.0,0,0,0.001,41.30561111111111,27.52175,69.0
9,1000.0,0,0,0.001,41.41822222222222,27.219555555555555,53.0
10,1000.0,0,0,0.001,41.26191666666666,27.548111111111112,83.0
11,1000.0,0,0,0.001,41.250638888888886,26.644944444444445,12.0
12,1000.0,0,0,0.001,41.29263888888889,27.503444444444444,55.0
13,1000.0,0,0,0.001,41.171388888888885,27.79488888888889,120.0
14,1000.0,0,0,0.001,40.94847222222222,26.931,102.0
15,1000.0,0,0,0.001,41.36988888888889,27.176,42.0
16,1000.0,0,0,0.001,41.08586111111112,26.54727777777778,21.0
17,1000.0,0,0,0.001,41.336083333333335,26.922472222222225,28.0
18,1000.0,0,0,0.001,41.683166666666665,27.198083333333333,166.0
19,1000.0,0,0,0.001,41.142472222222224,27.599138888888888,89.0
20,1000.0,0,0,0.001,41.20744444444445,27.86411111111111,150.0
21,1000.0,0,0,0.001,41.35047222222222,27.10927777777778,41.0
22,1000.0,0,0,0.001,41.060138888888886,27.33877777777777,111.0
23,1000.0,0,0,0.001,41.364694444444446,27.061805555555555,38.0
24,1000.0,0,0,0.001,41.30858333333333,26.78977777777778,18.0
25,1000.0,0,0,0.001,41.27711111111111,27.582555555555555,101.0
26,1000.0,0,0,0.001,41.216750000000005,27.526333333333334,76.0
27,1000.0,0,0,0.001,41.45438888888889,27.04538888888889,63.0
28,1000.0,0,0,0.001,41.34280555555556,27.456888888888887,57.0
29,1000.0,0,0,0.001,41.38247222222222,26.91186111111111,34.0
0,1000.0,0,1,0.001,41.23858333333333,27.869722222222222,130.0
1,1000.0,0,1,0.001,41.090138888888895,27.46905555555556,118.0
2,1000.0,0,1,0.001,41.36344444444445,27.32677777777777,43.0
3,1000.0,0,1,0.001,41.275194444444445,26.681833333333334,12.0
4,1000.0,0,1,0.001,41.34663888888889,27.831527777777776,111.0
5,1000.0,0,1,0.001,41.203138888888894,27.47697222222222,68.0
6,1000.0,0,1,0.001,41.352,27.35163888888889,48.0
7,1000.0,0,1,0.001,41.34791666666667,27.28786111111112,45.0
8,1000.0,0,1,0.001,41.30561111111111,27.52175,69.0
9,1000.0,0,1,0.001,41.41822222222222,27.219555555555555,53.0
10,1000.0,0,1,0.001,41.26191666666666,27.548111111111112,83.0
11,1000.0,0,1,0.001,41.250638888888886,26.644944444444445,12.0
12,1000.0,0,1,0.001,41.29263888888889,27.503444444444444,55.0
13,1000.0,0,1,0.001,41.171388888888885,27.79488888888889,120.0
14,1000.0,0,1,0.001,40.94847222222222,26.931,102.0
15,1000.0,0,1,0.001,41.36988888888889,27.176,42.0
16,1000.0,0,1,0.001,41.08586111111112,26.54727777777778,21.0
17,1000.0,0,1,0.001,41.336083333333335,26.922472222222225,28.0
18,1000.0,0,1,0.001,41.683166666666665,27.198083333333333,166.0
19,1000.0,0,1,0.001,41.142472222222224,27.599138888888888,89.0
20,1000.0,0,1,0.001,41.20744444444445,27.86411111111111,150.0
21,1000.0,0,1,0.001,41.35047222222222,27.10927777777778,41.0
22,1000.0,0,1,0.001,41.060138888888886,27.33877777777777,111.0
23,1000.0,0,1,0.001,41.364694444444446,27.061805555555555,38.0
24,1000.0,0,1,0.001,41.30858333333333,26.78977777777778,18.0
25,1000.0,0,1,0.001,41.27711111111111,27.582555555555555,101.0
26,1000.0,0,1,0.001,41.216750000000005,27.526333333333334,76.0
27,1000.0,0,1,0.001,41.45438888888889,27.04538888888889,63.0
28,1000.0,0,1,0.001,41.34280555555556,27.456888888888887,57.0
29,1000.0,0,1,0.001,41.38247222222222,26.91186111111111,34.0
4,1500.0,0,0,0.001,41.23858333333333,27.869722222222222,130.0
5,1500.0,0,0,0.001,41.090138888888895,27.46905555555556,118.0
0,1500.0,0,0,0.001,41.35772275992918,27.33920999563881,45.5
6,1500.0,0,0,0.001,41.275194444444445,26.681833333333334,12.0
7,1500.0,0,0,0.001,41.34663888888889,27.831527777777776,111.0
8,1500.0,0,0,0.001,41.203138888888894,27.47697222222222,68.0
9,1500.0,0,0,0.001,41.34791666666667,27.28786111111112,45.0
2,1500.0,0,0,0.001,41.29707863405342,27.51326331953057,62.0
10,1500.0,0,0,0.001,41.41822222222222,27.219555555555555,53.0
11,1500.0,0,0,0.001,41.26191666666666,27.548111111111112,83.0
12,1500.0,0,0,0.001,41.250638888888886,26.644944444444445,12.0
13,1500.0,0,0,0.001,41.171388888888885,27.79488888888889,120.0
14,1500.0,0,0,0.001,40.94847222222222,26.931,102.0
15,1500.0,0,0,0.001,41.36988888888889,27.176,42.0
16,1500.0,0,0,0.001,41.08586111111112,26.54727777777778,21.0
17,1500.0,0,0,0.001,41.336083333333335,26.922472222222225,28.0
18,1500.0,0,0,0.001,41.683166666666665,27.198083333333333,166.0
19,1500.0,0,0,0.001,41.142472222222224,27.599138888888888,89.0
20,1500.0,0,0,0.001,41.20744444444445,27.86411111111111,150.0
21,1500.0,0,0,0.001,41.35047222222222,27.10927777777778,41.0
22,1500.0,0,0,0.001,41.060138888888886,27.33877777777777,111.0
23,1500.0,0,0,0.001,41.364694444444446,27.061805555555555,38.0
24,1500.0,0,0,0.001,41.30858333333333,26.78977777777778,18.0
25,1500.0,0,0,0.001,41.27711111111111,27.582555555555555,101.0
26,1500.0,0,0,0.001,41.216750000000005,27.526333333333334,76.0
27,1500.0,0,0,0.001,41.45438888888889,27.04538888888889,63.0
28,1500.0,0,0,0.001,41.34280555555556,27.456888888888887,57.0
29,1500.0,0,0,0.001,41.38247222222222,26.91186111111111,34.0
0,1500.0,1,0,0.001,41.35772275992918,27.33920999563881,45.5
