gw_key,sensor_key,distance_threshold,outlier_threshold,remove_intersections,score_threshold,sensor_latitude,sensor_longitude,sensor_altitude
0,cc3,500.0,0,0,0.001,41.23858333333333,27.869722222222222,130.0
1,m1,500.0,0,0,0.001,41.090138888888895,27.46905555555556,118.0
2,m8,500.0,0,0,0.001,41.36344444444445,27.32677777777777,43.0
3,t15,500.0,0,0,0.001,41.275194444444445,26.681833333333334,12.0
4,ec1,500.0,0,0,0.001,41.34663888888889,27.831527777777776,111.0
5,m3,500.0,0,0,0.001,41.203138888888894,27.47697222222222,68.0
6,m7,500.0,0,0,0.001,41.352,27.35163888888889,48.0
7,m9,500.0,0,0,0.001,41.34791666666667,27.28786111111112,45.0
8,t2-3,500.0,0,0,0.001,41.30561111111111,27.52175,69.0
9,t7-1,500.0,0,0,0.001,41.41822222222222,27.219555555555555,53.0
10,t1-2,500.0,0,0,0.001,41.26191666666666,27.548111111111112,83.0
11,t16,500.0,0,0,0.001,41.250638888888886,26.644944444444445,12.0
12,t2-2,500.0,0,0,0.001,41.29263888888889,27.503444444444444,55.0
13,cc8,500.0,0,0,0.001,41.171388888888885,27.79488888888889,120.0
14,t11-1,500.0,0,0,0.001,40.94847222222222,26.931,102.0
15,t7-2,500.0,0,0,0.001,41.36988888888889,27.176,42.0
16,t18,500.0,0,0,0.001,41.08586111111112,26.54727777777778,21.0
17,m13,500.0,0,0,0.001,41.336083333333335,26.922472222222225,28.0
18,t12-3,500.0,0,0,0.001,41.683166666666665,27.198083333333333,166.0
19,cc10,500.0,0,0,0.001,41.142472222222224,27.599138888888888,89.0
20,cc6,500.0,0,0,0.001,41.20744444444445,27.86411111111111,150.0
21,t10,500.0,0,0,0.001,41.35047222222222,27.10927777777778,41.0
22,t8-1,500.0,0,0,0.001,41.060138888888886,27.33877777777777,111.0
23,t12-5,500.0,0,0,0.001,41.364694444444446,27.061805555555555,38.0
24,t14-2,500.0,0,0,0.001,41.30858333333333,26.78977777777778,18.0
25,t1-1,500.0,0,0,0.001,41.27711111111111,27.582555555555555,101.0
26,ec7,500.0,0,0,0.001,41.216750000000005,27.526333333333334,76.0
27,t12-4,500.0,0,0,0.001,41.45438888888889,27.04538888888889,63.0
28,t3-1,500.0,0,0,0.001,41.34280555555556,27.456888888888887,57.0
29,t13-3,500.0,0,0,0.001,41.38247222222222,26.91186111111111,34.0
0,cc3,500.0,0,1,0.001,41.23858333333333,27.869722222222222,130.0
1,m1,500.0,0,1,0.001,41.090138888888895,27.46905555555556,118.0
2,m8,500.0,0,1,0.001,41.36344444444445,27.32677777777777,43.0
3,t15,500.0,0,1,0.001,41.275194444444445,26.681833333333334,12.0
4,ec1,500.0,0,1,0.001,41.34663888888889,27.831527777777776,111.0
5,m3,500.0,0,1,0.001,41.203138888888894,27.47697222222222,68.0
6,m7,500.0,0,1,0.001,41.352,27.35163888888889,48.0
7,m9,500.0,0,1,0.001,41.34791666666667,27.28786111111112,45.0
8,t2-3,500.0,0,1,0.001,41.30561111111111,27.52175,69.0
9,t7-1,500.0,0,1,0.001,41.41822222222222,27.219555555555555,53.0
10,t1-2,500.0,0,1,0.001,41.26191666666666,27.548111111111112,83.0
11,t16,500.0,0,1,0.001,41.250638888888886,26.644944444444445,12.0
12,t2-2,500.0,0,1,0.001,41.29263888888889,27.503444444444444,55.0
