gw_key,distance_threshold,outlier_threshold,remove_intersections,score_threshold,gw_latitude,gw_longitude,gw_altitude
0,500.0,0,0,0.001,41.090138888888895,27.46905555555556,118.0
1,500.0,0,0,0.001,41.357527777777776,27.387416666666667,41.0
2,500.0,0,0,0.001,41.34030555555556,27.26763888888889,44.0
3,500.0,0,0,0.001,41.36775,27.14011111111111,42.0
4,500.0,0,0,0.001,41.078138888888894,27.076527777777777,31.0
5,500.0,0,0,0.001,41.364694444444446,27.061805555555555,38.0
6,500.0,0,0,0.001,41.38247222222222,26.91186111111111,34.0
7,500.0,0,0,0.001,41.34858333333334,26.886416666666666,22.0
8,500.0,0,0,0.001,41.250638888888886,26.644944444444445,12.0
9,500.0,0,0,0.001,41.20663888888889,26.60794444444445,11.0
10,500.0,0,0,0.001,41.34791666666667,27.28786111111112,45.0
11,500.0,0,0,0.001,41.3535,27.080111111111112,46.0
12,500.0,0,0,0.001,41.324333333333335,26.82922222222222,18.0
13,500.0,0,0,0.001,41.28483333333333,26.69877777777777,24.0
14,500.0,0,0,0.001,41.142472222222224,27.599138888888888,89.0
15,500.0,0,0,0.001,41.352,27.35163888888889,48.0
16,500.0,0,0,0.001,41.18147222222222,27.813305555555555,136.0
17,500.0,0,0,0.001,41.20744444444445,27.86411111111111,150.0
18,500.0,0,0,0.001,41.293416666666666,27.944222222222223,154.0
19,500.0,0,0,0.001,41.20252777777778,27.82125,119.0
20,500.0,0,0,0.001,41.22958333333334,27.64325,83.0
21,500.0,0,0,0.001,41.29263888888889,27.503444444444444,55.0
22,500.0,0,0,0.001,41.42869444444444,27.36730555555556,62.0
23,500.0,0,0,0.001,40.921416666666666,26.925944444444447,129.0
24,500.0,0,0,0.001,41.17636111111111,27.76452777777778,115.0
25,500.0,0,0,0.001,41.27316666666667,27.96463888888889,142.0
26,500.0,0,0,0.001,41.41822222222222,27.219555555555555,53.0
27,500.0,0,0,0.001,41.25669444444444,27.735666666666667,106.0
28,500.0,0,0,0.001,41.129583333333336,26.480055555555555,19.0
29,500.0,0,0,0.001,41.09194444444445,27.086666666666662,69.0
0,500.0,0,1,0.001,41.090138888888895,27.46905555555556,118.0
1,500.0,0,1,0.001,41.357527777777776,27.387416666666667,41.0
2,500.0,0,1,0.001,41.34030555555556,27.26763888888889,44.0
3,500.0,0,1,0.001,41.36775,27.14011111111111,42.0
4,500.0,0,1,0.001,41.078138888888894,27.076527777777777,31.0
5,500.0,0,1,0.001,41.364694444444446,27.061805555555555,38.0
6,500.0,0,1,0.001,41.38247222222222,26.91186111111111,34.0
7,500.0,0,1,0.001,41.34858333333334,26.886416666666666,22.0
8,500.0,0,1,0.001,41.250638888888886,26.644944444444445,12.0
9,500.0,0,1,0.001,41.20663888888889,26.60794444444445,11.0
10,500.0,0,1,0.001,41.34791666666667,27.28786111111112,45.0
11,500.0,0,1,0.001,41.3535,27.080111111111112,46.0
12,500.0,0,1,0.001,41.324333333333335,26.82922222222222,18.0
13,500.0,0,1,0.001,41.28483333333333,26.69877777777777,24.0
14,500.0,0,1,0.001,41.142472222222224,27.599138888888888,89.0
15,500.0,0,1,0.001,41.352,27.35163888888889,48.0
16,500.0,0,1,0.001,41.18147222222222,27.813305555555555,136.0
17,500.0,0,1,0.001,41.20744444444445,27.86411111111111,150.0
18,500.0,0,1,0.001,41.293416666666666,27.944222222222223,154.0
19,500.0,0,1,0.001,41.20252777777778,27.82125,119.0
20,500.0,0,1,0.001,41.22958333333334,27.64325,83.0
21,500.0,0,1,0.001,41.29263888888889,27.503444444444444,55.0
22,500.0,0,1,0.001,41.42869444444444,27.36730555555556,62.0
23,500.0,0,1,0.001,40.921416666666666,26.925944444444447,129.0
24,500.0,0,1,0.001,41.17636111111111,27.76452777777778,115.0
25,500.0,0,1,0.001,41.27316666666667,27.96463888888889,142.0
26,500.0,0,1,0.001,41.41822222222222,27.219555555555555,53.0
27,500.0,0,1,0.001,41.25669444444444,27.735666666666667,106.0
28,500.0,0,1,0.001,41.129583333333336,26.480055555555555,19.0
29,500.0,0,1,0.001,41.09194444444445,27.086666666666662,69.0
6,1000.0,0,0,0.001,41.090138888888895,27.46905555555556,118.0
7,1000.0,0,0,0.001,41.357527777777776,27.387416666666667,41.0
0,1000.0,0,0,0.001,41.34411153986833,27.27774933630203,44.5
8,1000.0,0,0,0.001,41.36775,27.14011111111111,42.0
2,1000.0,0,0,0.001,41.08380222786406,27.08269274078421,50.0
4,1000.0,0,0,0.001,41.35909757725679,27.070959145169063,42.0
9,1000.0,0,0,0.001,41.38247222222222,26.91186111111111,34.0
10,1000.0,0,0,0.001,41.34858333333334,26.886416666666666,22.0
11,1000.0,0,0,0.001,41.250638888888886,26.644944444444445,12.0
12,1000.0,0,0,0.001,41.20663888888889,26.60794444444445,11.0
13,1000.0,0,0,0.001,41.324333333333335,26.82922222222222,18.0
14,1000.0,0,0,0.001,41.28483333333333,26.69877777777777,24.0
15,1000.0,0,0,0.001,41.142472222222224,27.599138888888888,89.0
16,1000.0,0,0,0.001,41.352,27.35163888888889,48.0
17,1000.0,0,0,0.001,41.18147222222222,27.813305555555555,136.0
18,1000.0,0,0,0.001,41.20744444444445,27.86411111111111,150.0
19,1000.0,0,0,0.001,41.293416666666666,27.944222222222223,154.0
20,1000.0,0,0,0.001,41.20252777777778,27.82125,119.0
21,1000.0,0,0,0.001,41.22958333333334,27.64325,83.0
22,1000.0,0,0,0.001,41.29263888888889,27.503444444444444,55.0
23,1000.0,0,0,0.001,41.42869444444444,27.36730555555556,62.0
24,1000.0,0,0,0.001,40.921416666666666,26.925944444444447,129.0
25,1000.0,0,0,0.001,41.17636111111111,27.76452777777778,115.0
26,1000.0,0,0,0.001,41.27316666666667,27.96463888888889,142.0
27,1000.0,0,0,0.001,41.41822222222222,27.219555555555555,53.0
28,1000.0,0,0,0.001,41.25669444444444,27.735666666666667,106.0
29,1000.0,0,0,0.001,41.129583333333336,26.480055555555555,19.0
0,1000.0,1,0,0.001,41.34411153986833,27.27774933630203,44.5
2,1000.0,1,0,0.001,41.08380222786406,27.08269274078421,50.0
4,1000.0,1,0,0.001,41.35909757725679,27.070959145169063,42.0
6,1000.0,0,1,0.001,41.090138888888895,27.46905555555556,118.0
7,1000.0,0,1,0.001,41.357527777777776,27.387416666666667,41.0
0,1000.0,0,1,0.001,41.34411153986833,27.27774933630203,44.5
8,1000.0,0,1,0.001,41.36775,27.14011111111111,42.0
2,1000.0,0,1,0.001,41.08380222786406,27.08269274078421,50.0
4,1000.0,0,1,0.001,41.35909757725679,27.070959145169063,42.0
9,1000.0,0,1,0.001,41.38247222222222,26.91186111111111,34.0
10,1000.0,0,1,0.001,41.34858333333334,26.886416666666666,22.0
11,1000.0,0,1,0.001,41.250638888888886,26.644944444444445,12.0
12,1000.0,0,1,0.001,41.20663888888889,26.60794444444445,11.0
13,1000.0,0,1,0.001,41.324333333333335,26.82922222222222,18.0
14,1000.0,0,1,0.001,41.28483333333333,26.69877777777777,24.0
15,1000.0,0,1,0.001,41.142472222222224,27.599138888888888,89.0
16,1000.0,0,1,0.001,41.352,27.35163888888889,48.0
