gw_key,distance_threshold,outlier_threshold,remove_intersections,score_threshold,gw_latitude,gw_longitude,gw_altitude
0,500.0,0,0,0.001,41.090138888888895,27.46905555555556,118.0
1,500.0,0,0,0.001,41.785916666666665,27.129277777777776,244.0
2,500.0,0,0,0.001,41.42869444444444,27.36730555555556,62.0
3,500.0,0,0,0.001,40.921416666666666,26.925944444444447,129.0
4,500.0,0,0,0.001,41.683166666666665,27.198083333333333,166.0
5,500.0,0,0,0.001,41.250638888888886,26.644944444444445,12.0
6,500.0,0,0,0.001,41.34663888888889,27.831527777777776,111.0
7,500.0,0,0,0.001,41.040416666666665,26.355944444444447,12.0
8,500.0,0,0,0.001,41.18147222222222,27.813305555555555,136.0
9,500.0,0,0,0.001,41.129583333333336,26.480055555555555,19.0
10,500.0,0,0,0.001,41.293416666666666,27.944222222222223,154.0
11,500.0,0,0,0.001,40.94847222222222,26.931,102.0
12,500.0,0,0,0.001,41.45438888888889,27.04538888888889,63.0
13,500.0,0,0,0.001,41.38247222222222,26.91186111111111,34.0
14,500.0,0,0,0.001,41.324333333333335,26.82922222222222,18.0
15,500.0,0,0,0.001,41.20663888888889,26.60794444444445,11.0
16,500.0,0,0,0.001,41.23858333333333,27.869722222222222,130.0
17,500.0,0,0,0.001,41.13002777777778,27.772972222222226,95.0
18,500.0,0,0,0.001,41.060138888888886,27.33877777777777,111.0
19,500.0,0,0,0.001,41.28483333333333,26.69877777777777,24.0
20,500.0,0,0,0.001,41.08586111111112,26.54727777777778,21.0
21,500.0,0,0,0.001,41.4065,26.928944444444447,37.0
22,500.0,0,0,0.001,41.16366666666666,27.49325,87.0
23,500.0,0,0,0.001,41.26419444444444,27.639055555555554,107.0
24,500.0,0,0,0.001,41.34858333333334,26.886416666666666,22.0
25,500.0,0,0,0.001,41.20744444444445,27.86411111111111,150.0
26,500.0,0,0,0.001,41.30858333333333,26.78977777777778,18.0
27,500.0,0,0,0.001,41.36344444444445,27.32677777777777,43.0
28,500.0,0,0,0.001,41.142472222222224,27.599138888888888,89.0
29,500.0,0,0,0.001,41.216750000000005,27.526333333333334,76.0
0,500.0,0,1,0.001,41.090138888888895,27.46905555555556,118.0
1,500.0,0,1,0.001,41.785916666666665,27.129277777777776,244.0
2,500.0,0,1,0.001,41.42869444444444,27.36730555555556,62.0
3,500.0,0,1,0.001,40.921416666666666,26.925944444444447,129.0
4,500.0,0,1,0.001,41.683166666666665,27.198083333333333,166.0
5,500.0,0,1,0.001,41.250638888888886,26.644944444444445,12.0
6,500.0,0,1,0.001,41.34663888888889,27.831527777777776,111.0
7,500.0,0,1,0.001,41.040416666666665,26.355944444444447,12.0
8,500.0,0,1,0.001,41.18147222222222,27.813305555555555,136.0
9,500.0,0,1,0.001,41.129583333333336,26.480055555555555,19.0
10,500.0,0,1,0.001,41.293416666666666,27.944222222222223,154.0
11,500.0,0,1,0.001,40.94847222222222,26.931,102.0
12,500.0,0,1,0.001,41.45438888888889,27.04538888888889,63.0
13,500.0,0,1,0.001,41.38247222222222,26.91186111111111,34.0
14,500.0,0,1,0.001,41.324333333333335,26.82922222222222,18.0
15,500.0,0,1,0.001,41.20663888888889,26.60794444444445,11.0
16,500.0,0,1,0.001,41.23858333333333,27.869722222222222,130.0
17,500.0,0,1,0.001,41.13002777777778,27.772972222222226,95.0
18,500.0,0,1,0.001,41.060138888888886,27.33877777777777,111.0
19,500.0,0,1,0.001,41.28483333333333,26.69877777777777,24.0
20,500.0,0,1,0.001,41.08586111111112,26.54727777777778,21.0
21,500.0,0,1,0.001,41.4065,26.928944444444447,37.0
22,500.0,0,1,0.001,41.16366666666666,27.49325,87.0
23,500.0,0,1,0.001,41.26419444444444,27.639055555555554,107.0
24,500.0,0,1,0.001,41.34858333333334,26.886416666666666,22.0
25,500.0,0,1,0.001,41.20744444444445,27.86411111111111,150.0
