gw_key,distance_threshold,outlier_threshold,remove_intersections,score_threshold,gw_latitude,gw_longitude,gw_altitude
0,500.0,0,0,0.001,41.26419444444444,27.639055555555554,107.0
1,500.0,0,0,0.001,41.293416666666666,27.944222222222223,154.0
2,500.0,0,0,0.001,41.34030555555556,27.26763888888889,44.0
3,500.0,0,0,0.001,41.357527777777776,27.387416666666667,41.0
4,500.0,0,0,0.001,41.27711111111111,27.582555555555555,101.0
5,500.0,0,0,0.001,41.34280555555556,27.456888888888887,57.0
6,500.0,0,0,0.001,41.41822222222222,27.219555555555555,53.0
7,500.0,0,0,0.001,41.33572222222222,27.47411111111111,69.0
8,500.0,0,0,0.001,41.24219444444444,27.684361111111112,91.0
9,500.0,0,0,0.001,41.171388888888885,27.79488888888889,120.0
10,500.0,0,0,0.001,41.18147222222222,27.813305555555555,136.0
11,500.0,0,0,0.001,41.26191666666666,27.548111111111112,83.0
12,500.0,0,0,0.001,41.060138888888886,27.33877777777777,111.0
13,500.0,0,0,0.001,41.20744444444445,27.86411111111111,150.0
14,500.0,0,0,0.001,41.27316666666667,27.96463888888889,142.0
15,500.0,0,0,0.001,41.16366666666666,27.49325,87.0
16,500.0,0,0,0.001,41.30561111111111,27.52175,69.0
17,500.0,0,0,0.001,41.22958333333334,27.64325,83.0
18,500.0,0,0,0.001,41.040416666666665,26.355944444444447,12.0
19,500.0,0,0,0.001,41.36775,27.14011111111111,42.0
20,500.0,0,0,0.001,41.25669444444444,27.735666666666667,106.0
21,500.0,0,0,0.001,41.19519444444444,27.46575,70.0
22,500.0,0,0,0.001,41.23858333333333,27.869722222222222,130.0
23,500.0,0,0,0.001,41.36988888888889,27.176,42.0
24,500.0,0,0,0.001,41.246833333333335,26.6185,18.0
25,500.0,0,0,0.001,41.216750000000005,27.526333333333334,76.0
26,500.0,0,0,0.001,41.29263888888889,27.503444444444444,55.0
27,500.0,0,0,0.001,41.17636111111111,27.76452777777778,115.0
28,500.0,0,0,0.001,41.254444444444445,27.45308333333333,56.0
29,500.0,0,0,0.001,41.683166666666665,27.198083333333333,166.0
0,500.0,0,1,0.001,41.26419444444444,27.639055555555554,107.0
1,500.0,0,1,0.001,41.293416666666666,27.944222222222223,154.0
2,500.0,0,1,0.001,41.34030555555556,27.26763888888889,44.0
3,500.0,0,1,0.001,41.357527777777776,27.387416666666667,41.0
4,500.0,0,1,0.001,41.27711111111111,27.582555555555555,101.0
5,500.0,0,1,0.001,41.34280555555556,27.456888888888887,57.0
6,500.0,0,1,0.001,41.41822222222222,27.219555555555555,53.0
7,500.0,0,1,0.001,41.33572222222222,27.47411111111111,69.0
8,500.0,0,1,0.001,41.24219444444444,27.684361111111112,91.0
9,500.0,0,1,0.001,41.171388888888885,27.79488888888889,120.0
10,500.0,0,1,0.001,41.18147222222222,27.813305555555555,136.0
11,500.0,0,1,0.001,41.26191666666666,27.548111111111112,83.0
