gw_key,distance_threshold,outlier_threshold,remove_intersections,score_threshold,gw_latitude,gw_longitude,gw_altitude
0,500.0,0,0,0.001,41.22958333333334,27.64325,83.0
1,500.0,0,0,0.001,41.060138888888886,27.33877777777777,111.0
2,500.0,0,0,0.001,41.352,27.35163888888889,48.0
3,500.0,0,0,0.001,41.18147222222222,27.813305555555555,136.0
4,500.0,0,0,0.001,41.250638888888886,26.644944444444445,12.0
5,500.0,0,0,0.001,41.34858333333334,26.886416666666666,22.0
6,500.0,0,0,0.001,41.08586111111112,26.54727777777778,21.0
7,500.0,0,0,0.001,41.090138888888895,27.46905555555556,118.0
8,500.0,0,0,0.001,41.078138888888894,27.076527777777777,31.0
9,500.0,0,0,0.001,41.26419444444444,27.639055555555554,107.0
10,500.0,0,0,0.001,41.36344444444445,27.32677777777777,43.0
11,500.0,0,0,0.001,41.324333333333335,26.82922222222222,18.0
12,500.0,0,0,0.001,41.42869444444444,27.36730555555556,62.0
13,500.0,0,0,0.001,41.35047222222222,27.10927777777778,41.0
14,500.0,0,0,0.001,41.34280555555556,27.456888888888887,57.0
15,500.0,0,0,0.001,41.41822222222222,27.219555555555555,53.0
16,500.0,0,0,0.001,41.27666666666666,27.01933333333333,100.0
17,500.0,0,0,0.001,41.26191666666666,27.548111111111112,83.0
18,500.0,0,0,0.001,41.19519444444444,27.46575,70.0
19,500.0,0,0,0.001,41.30561111111111,27.52175,69.0
20,500.0,0,0,0.001,41.364694444444446,27.061805555555555,38.0
21,500.0,0,0,0.001,41.246833333333335,26.6185,18.0
22,500.0,0,0,0.001,41.785916666666665,27.129277777777776,244.0
23,500.0,0,0,0.001,41.4065,26.928944444444447,37.0
24,500.0,0,0,0.001,41.30858333333333,26.78977777777778,18.0
25,500.0,0,0,0.001,41.38247222222222,26.91186111111111,34.0
26,500.0,0,0,0.001,41.34663888888889,27.831527777777776,111.0
27,500.0,0,0,0.001,41.336083333333335,26.922472222222225,28.0
28,500.0,0,0,0.001,40.94847222222222,26.931,102.0
29,500.0,0,0,0.001,41.142472222222224,27.599138888888888,89.0
0,500.0,0,1,0.001,41.22958333333334,27.64325,83.0
1,500.0,0,1,0.001,41.060138888888886,27.33877777777777,111.0
2,500.0,0,1,0.001,41.352,27.35163888888889,48.0
3,500.0,0,1,0.001,41.18147222222222,27.813305555555555,136.0
4,500.0,0,1,0.001,41.250638888888886,26.644944444444445,12.0
5,500.0,0,1,0.001,41.34858333333334,26.886416666666666,22.0
6,500.0,0,1,0.001,41.08586111111112,26.54727777777778,21.0
7,500.0,0,1,0.001,41.090138888888895,27.46905555555556,118.0
8,500.0,0,1,0.001,41.078138888888894,27.076527777777777,31.0
9,500.0,0,1,0.001,41.26419444444444,27.639055555555554,107.0
10,500.0,0,1,0.001,41.36344444444445,27.32677777777777,43.0
11,500.0,0,1,0.001,41.324333333333335,26.82922222222222,18.0
12,500.0,0,1,0.001,41.42869444444444,27.36730555555556,62.0
13,500.0,0,1,0.001,41.35047222222222,27.10927777777778,41.0
14,500.0,0,1,0.001,41.34280555555556,27.456888888888887,57.0
15,500.0,0,1,0.001,41.41822222222222,27.219555555555555,53.0
16,500.0,0,1,0.001,41.27666666666666,27.01933333333333,100.0
17,500.0,0,1,0.001,41.26191666666666,27.548111111111112,83.0
18,500.0,0,1,0.001,41.19519444444444,27.46575,70.0
19,500.0,0,1,0.001,41.30561111111111,27.52175,69.0
20,500.0,0,1,0.001,41.364694444444446,27.061805555555555,38.0
21,500.0,0,1,0.001,41.246833333333335,26.6185,18.0
22,500.0,0,1,0.001,41.785916666666665,27.129277777777776,244.0
23,500.0,0,1,0.001,41.4065,26.928944444444447,37.0
24,500.0,0,1,0.001,41.30858333333333,26.78977777777778,18.0
25,500.0,0,1,0.001,41.38247222222222,26.91186111111111,34.0
26,500.0,0,1,0.001,41.34663888888889,27.831527777777776,111.0
27,500.0,0,1,0.001,41.336083333333335,26.922472222222225,28.0
28,500.0,0,1,0.001,40.94847222222222,26.931,102.0
29,500.0,0,1,0.001,41.142472222222224,27.599138888888888,89.0
0,1000.0,0,0,0.001,41.22958333333334,27.64325,83.0
1,1000.0,0,0,0.001,41.060138888888886,27.33877777777777,111.0
2,1000.0,0,0,0.001,41.352,27.35163888888889,48.0
3,1000.0,0,0,0.001,41.18147222222222,27.813305555555555,136.0
4,1000.0,0,0,0.001,41.250638888888886,26.644944444444445,12.0
5,1000.0,0,0,0.001,41.34858333333334,26.886416666666666,22.0
6,1000.0,0,0,0.001,41.08586111111112,26.54727777777778,21.0
7,1000.0,0,0,0.001,41.090138888888895,27.46905555555556,118.0
8,1000.0,0,0,0.001,41.078138888888894,27.076527777777777,31.0
9,1000.0,0,0,0.001,41.26419444444444,27.639055555555554,107.0
10,1000.0,0,0,0.001,41.36344444444445,27.32677777777777,43.0
11,1000.0,0,0,0.001,41.324333333333335,26.82922222222222,18.0
12,1000.0,0,0,0.001,41.42869444444444,27.36730555555556,62.0
13,1000.0,0,0,0.001,41.35047222222222,27.10927777777778,41.0
14,1000.0,0,0,0.001,41.34280555555556,27.456888888888887,57.0
15,1000.0,0,0,0.001,41.41822222222222,27.219555555555555,53.0
16,1000.0,0,0,0.001,41.27666666666666,27.01933333333333,100.0
17,1000.0,0,0,0.001,41.26191666666666,27.548111111111112,83.0
18,1000.0,0,0,0.001,41.19519444444444,27.46575,70.0
19,1000.0,0,0,0.001,41.30561111111111,27.52175,69.0
20,1000.0,0,0,0.001,41.364694444444446,27.061805555555555,38.0
21,1000.0,0,0,0.001,41.246833333333335,26.6185,18.0
22,1000.0,0,0,0.001,41.785916666666665,27.129277777777776,244.0
23,1000.0,0,0,0.001,41.4065,26.928944444444447,37.0
24,1000.0,0,0,0.001,41.30858333333333,26.78977777777778,18.0
25,1000.0,0,0,0.001,41.38247222222222,26.91186111111111,34.0
26,1000.0,0,0,0.001,41.34663888888889,27.831527777777776,111.0
27,1000.0,0,0,0.001,41.336083333333335,26.922472222222225,28.0
28,1000.0,0,0,0.001,40.94847222222222,26.931,102.0
29,1000.0,0,0,0.001,41.142472222222224,27.599138888888888,89.0
0,1000.0,0,1,0.001,41.22958333333334,27.64325,83.0
1,1000.0,0,1,0.001,41.060138888888886,27.33877777777777,111.0
2,1000.0,0,1,0.001,41.352,27.35163888888889,48.0
3,1000.0,0,1,0.001,41.18147222222222,27.813305555555555,136.0
4,1000.0,0,1,0.001,41.250638888888886,26.644944444444445,12.0
5,1000.0,0,1,0.001,41.34858333333334,26.886416666666666,22.0
6,1000.0,0,1,0.001,41.08586111111112,26.54727777777778,21.0
7,1000.0,0,1,0.001,41.090138888888895,27.46905555555556,118.0
8,1000.0,0,1,0.001,41.078138888888894,27.076527777777777,31.0
9,1000.0,0,1,0.001,41.26419444444444,27.639055555555554,107.0
10,1000.0,0,1,0.001,41.36344444444445,27.32677777777777,43.0
11,1000.0,0,1,0.001,41.324333333333335,26.82922222222222,18.0
12,1000.0,0,1,0.001,41.42869444444444,27.36730555555556,62.0
13,1000.0,0,1,0.001,41.35047222222222,27.10927777777778,41.0
14,1000.0,0,1,0.001,41.34280555555556,27.456888888888887,57.0
15,1000.0,0,1,0.001,41.41822222222222,27.219555555555555,53.0
16,1000.0,0,1,0.001,41.27666666666666,27.01933333333333,100.0
17,1000.0,0,1,0.001,41.26191666666666,27.548111111111112,83.0
18,1000.0,0,1,0.001,41.19519444444444,27.46575,70.0
19,1000.0,0,1,0.001,41.30561111111111,27.52175,69.0
20,1000.0,0,1,0.001,41.364694444444446,27.061805555555555,38.0
21,1000.0,0,1,0.001,41.246833333333335,26.6185,18.0
22,1000.0,0,1,0.001,41.785916666666665,27.129277777777776,244.0
23,1000.0,0,1,0.001,41.4065,26.928944444444447,37.0
24,1000.0,0,1,0.001,41.30858333333333,26.78977777777778,18.0
25,1000.0,0,1,0.001,41.38247222222222,26.91186111111111,34.0
26,1000.0,0,1,0.001,41.34663888888889,27.831527777777776,111.0
27,1000.0,0,1,0.001,41.336083333333335,26.922472222222225,28.0
28,1000.0,0,1,0.001,40.94847222222222,26.931,102.0
29,1000.0,0,1,0.001,41.142472222222224,27.599138888888888,89.0
4,1500.0,0,0,0.001,41.22958333333334,27.64325,83.0
5,1500.0,0,0,0.001,41.060138888888886,27.33877777777777,111.0
0,1500.0,0,0,0.001,41.35772275992918,27.33920999563881,45.5
