gw_key,sensor_key,distance_threshold,outlier_threshold,remove_intersections,score_threshold,sensor_latitude,sensor_longitude,sensor_altitude
0,ec5,500.0,0,0,0.001,41.22958333333334,27.64325,83.0
1,t8-1,500.0,0,0,0.001,41.060138888888886,27.33877777777777,111.0
2,m7,500.0,0,0,0.001,41.352,27.35163888888889,48.0
3,cc7,500.0,0,0,0.001,41.18147222222222,27.813305555555555,136.0
4,t16,500.0,0,0,0.001,41.250638888888886,26.644944444444445,12.0
5,t13-4,500.0,0,0,0.001,41.34858333333334,26.886416666666666,22.0
6,t18,500.0,0,0,0.001,41.08586111111112,26.54727777777778,21.0
7,m1,500.0,0,0,0.001,41.090138888888895,27.46905555555556,118.0
8,t12-2,500.0,0,0,0.001,41.078138888888894,27.076527777777777,31.0
9,ec6,500.0,0,0,0.001,41.26419444444444,27.639055555555554,107.0
10,m8,500.0,0,0,0.001,41.36344444444445,27.32677777777777,43.0
11,m14,500.0,0,0,0.001,41.324333333333335,26.82922222222222,18.0
12,t5-1,500.0,0,0,0.001,41.42869444444444,27.36730555555556,62.0
13,t10,500.0,0,0,0.001,41.35047222222222,27.10927777777778,41.0
14,t3-1,500.0,0,0,0.001,41.34280555555556,27.456888888888887,57.0
15,t7-1,500.0,0,0,0.001,41.41822222222222,27.219555555555555,53.0
16,t14-1,500.0,0,0,0.001,41.27666666666666,27.01933333333333,100.0
17,t1-2,500.0,0,0,0.001,41.26191666666666,27.548111111111112,83.0
18,m2,500.0,0,0,0.001,41.19519444444444,27.46575,70.0
19,t2-3,500.0,0,0,0.001,41.30561111111111,27.52175,69.0
20,t12-5,500.0,0,0,0.001,41.364694444444446,27.061805555555555,38.0
21,m16,500.0,0,0,0.001,41.246833333333335,26.6185,18.0
22,t13-1,500.0,0,0,0.001,41.785916666666665,27.129277777777776,244.0
23,t13-2,500.0,0,0,0.001,41.4065,26.928944444444447,37.0
24,t14-2,500.0,0,0,0.001,41.30858333333333,26.78977777777778,18.0
25,t13-3,500.0,0,0,0.001,41.38247222222222,26.91186111111111,34.0
26,ec1,500.0,0,0,0.001,41.34663888888889,27.831527777777776,111.0
27,m13,500.0,0,0,0.001,41.336083333333335,26.922472222222225,28.0
28,t11-1,500.0,0,0,0.001,40.94847222222222,26.931,102.0
29,cc10,500.0,0,0,0.001,41.142472222222224,27.599138888888888,89.0
0,ec5,500.0,0,1,0.001,41.22958333333334,27.64325,83.0
1,t8-1,500.0,0,1,0.001,41.060138888888886,27.33877777777777,111.0
2,m7,500.0,0,1,0.001,41.352,27.35163888888889,48.0
3,cc7,500.0,0,1,0.001,41.18147222222222,27.813305555555555,136.0
4,t16,500.0,0,1,0.001,41.250638888888886,26.644944444444445,12.0
5,t13-4,500.0,0,1,0.001,41.34858333333334,26.886416666666666,22.0
6,t18,500.0,0,1,0.001,41.08586111111112,26.54727777777778,21.0
7,m1,500.0,0,1,0.001,41.090138888888895,27.46905555555556,118.0
8,t12-2,500.0,0,1,0.001,41.078138888888894,27.076527777777777,31.0
9,ec6,500.0,0,1,0.001,41.26419444444444,27.639055555555554,107.0
10,m8,500.0,0,1,0.001,41.36344444444445,27.32677777777777,43.0
11,m14,500.0,0,1,0.001,41.324333333333335,26.82922222222222,18.0
12,t5-1,500.0,0,1,0.001,41.42869444444444,27.36730555555556,62.0
13,t10,500.0,0,1,0.001,41.35047222222222,27.10927777777778,41.0
14,t3-1,500.0,0,1,0.001,41.34280555555556,27.456888888888887,57.0
15,t7-1,500.0,0,1,0.001,41.41822222222222,27.219555555555555,53.0
16,t14-1,500.0,0,1,0.001,41.27666666666666,27.01933333333333,100.0
17,t1-2,500.0,0,1,0.001,41.26191666666666,27.548111111111112,83.0
18,m2,500.0,0,1,0.001,41.19519444444444,27.46575,70.0
19,t2-3,500.0,0,1,0.001,41.30561111111111,27.52175,69.0
20,t12-5,500.0,0,1,0.001,41.364694444444446,27.061805555555555,38.0
21,m16,500.0,0,1,0.001,41.246833333333335,26.6185,18.0
22,t13-1,500.0,0,1,0.001,41.785916666666665,27.129277777777776,244.0
23,t13-2,500.0,0,1,0.001,41.4065,26.928944444444447,37.0
24,t14-2,500.0,0,1,0.001,41.30858333333333,26.78977777777778,18.0
25,t13-3,500.0,0,1,0.001,41.38247222222222,26.91186111111111,34.0
26,ec1,500.0,0,1,0.001,41.34663888888889,27.831527777777776,111.0
27,m13,500.0,0,1,0.001,41.336083333333335,26.922472222222225,28.0
28,t11-1,500.0,0,1,0.001,40.94847222222222,26.931,102.0
29,cc10,500.0,0,1,0.001,41.142472222222224,27.599138888888888,89.0
0,ec5,1000.0,0,0,0.001,41.22958333333334,27.64325,83.0
1,t8-1,1000.0,0,0,0.001,41.060138888888886,27.33877777777777,111.0
2,m7,1000.0,0,0,0.001,41.352,27.35163888888889,48.0
3,cc7,1000.0,0,0,0.001,41.18147222222222,27.813305555555555,136.0
4,t16,1000.0,0,0,0.001,41.250638888888886,26.644944444444445,12.0
5,t13-4,1000.0,0,0,0.001,41.34858333333334,26.886416666666666,22.0
6,t18,1000.0,0,0,0.001,41.08586111111112,26.54727777777778,21.0
7,m1,1000.0,0,0,0.001,41.090138888888895,27.46905555555556,118.0
8,t12-2,1000.0,0,0,0.001,41.078138888888894,27.076527777777777,31.0
9,ec6,1000.0,0,0,0.001,41.26419444444444,27.639055555555554,107.0
10,m8,1000.0,0,0,0.001,41.36344444444445,27.32677777777777,43.0
11,m14,1000.0,0,0,0.001,41.324333333333335,26.82922222222222,18.0
12,t5-1,1000.0,0,0,0.001,41.42869444444444,27.36730555555556,62.0
13,t10,1000.0,0,0,0.001,41.35047222222222,27.10927777777778,41.0
14,t3-1,1000.0,0,0,0.001,41.34280555555556,27.456888888888887,57.0
15,t7-1,1000.0,0,0,0.001,41.41822222222222,27.219555555555555,53.0
16,t14-1,1000.0,0,0,0.001,41.27666666666666,27.01933333333333,100.0
17,t1-2,1000.0,0,0,0.001,41.26191666666666,27.548111111111112,83.0
18,m2,1000.0,0,0,0.001,41.19519444444444,27.46575,70.0
19,t2-3,1000.0,0,0,0.001,41.30561111111111,27.52175,69.0
20,t12-5,1000.0,0,0,0.001,41.364694444444446,27.061805555555555,38.0
21,m16,1000.0,0,0,0.001,41.246833333333335,26.6185,18.0
22,t13-1,1000.0,0,0,0.001,41.785916666666665,27.129277777777776,244.0
23,t13-2,1000.0,0,0,0.001,41.4065,26.928944444444447,37.0
24,t14-2,1000.0,0,0,0.001,41.30858333333333,26.78977777777778,18.0
25,t13-3,1000.0,0,0,0.001,41.38247222222222,26.91186111111111,34.0
26,ec1,1000.0,0,0,0.001,41.34663888888889,27.831527777777776,111.0
27,m13,1000.0,0,0,0.001,41.336083333333335,26.922472222222225,28.0
28,t11-1,1000.0,0,0,0.001,40.94847222222222,26.931,102.0
29,cc10,1000.0,0,0,0.001,41.142472222222224,27.599138888888888,89.0
0,ec5,1000.0,0,1,0.001,41.22958333333334,27.64325,83.0
1,t8-1,1000.0,0,1,0.001,41.060138888888886,27.33877777777777,111.0
2,m7,1000.0,0,1,0.001,41.352,27.35163888888889,48.0
3,cc7,1000.0,0,1,0.001,41.18147222222222,27.813305555555555,136.0
4,t16,1000.0,0,1,0.001,41.250638888888886,26.644944444444445,12.0
5,t13-4,1000.0,0,1,0.001,41.34858333333334,26.886416666666666,22.0
6,t18,1000.0,0,1,0.001,41.08586111111112,26.54727777777778,21.0
7,m1,1000.0,0,1,0.001,41.090138888888895,27.46905555555556,118.0
8,t12-2,1000.0,0,1,0.001,41.078138888888894,27.076527777777777,31.0
9,ec6,1000.0,0,1,0.001,41.26419444444444,27.639055555555554,107.0
10,m8,1000.0,0,1,0.001,41.36344444444445,27.32677777777777,43.0
11,m14,1000.0,0,1,0.001,41.324333333333335,26.82922222222222,18.0
12,t5-1,1000.0,0,1,0.001,41.42869444444444,27.36730555555556,62.0
13,t10,1000.0,0,1,0.001,41.35047222222222,27.10927777777778,41.0
14,t3-1,1000.0,0,1,0.001,41.34280555555556,27.456888888888887,57.0
15,t7-1,1000.0,0,1,0.001,41.41822222222222,27.219555555555555,53.0
16,t14-1,1000.0,0,1,0.001,41.27666666666666,27.01933333333333,100.0
17,t1-2,1000.0,0,1,0.001,41.26191666666666,27.548111111111112,83.0
18,m2,1000.0,0,1,0.001,41.19519444444444,27.46575,70.0
